Sample,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DPB2,HLA-DQA1,HLA-DQB1,HLA-DRB1,HLA-DQA2
HG02265,27.0,84.0,42.0,0.0,317.0,210.0,40.0,21.0,2704.0,60.0
HG02266,146.0,75.0,154.0,30.0,67.0,174.0,528.0,412.0,292.0,60.0
HG01058,96.0,114.0,54.0,10.0,77.0,0.0,528.0,400.0,1640.0,5.0
HG01130,0.0,101.0,0.0,30.0,51.0,196.0,533.0,398.0,251.0,43.0
HG01121,42.0,82.0,57.0,0.0,14.0,211.0,505.0,360.0,209.0,10.0
HG01550,93.0,128.0,42.0,9.0,322.0,9874.0,528.0,427.0,271.0,60.0
HG01124,93.0,95.0,54.0,30.0,66.0,170.0,389.0,400.0,844.0,43.0
HG02253,92.0,16.0,58.0,9.0,83.0,463.0,527.0,396.0,846.0,9.0
HG01108,56.0,109.0,45.0,366.0,1.0,196.0,7.0,0.0,10.0,3441.0
HG01578,144.0,17.0,56.0,367.0,50.0,470.0,54.0,395.0,229.0,4095.0
HG01392,42.0,0.0,70.0,1.0,75.0,34.0,7.0,1.0,6.0,71.0
HG01259,41.0,54.0,54.0,9.0,304.0,465.0,535.0,409.0,3137.0,42.0
HG01167,144.0,99.0,42.0,10.0,93.0,6.0,59.0,386.0,293.0,19.0
HG01396,42.0,83.0,58.0,9.0,318.0,471.0,7.0,0.0,292.0,23.0
HG01066,144.0,130.0,58.0,0.0,74.0,210.0,389.0,358.0,292.0,69.0
HG01939,144.0,17.0,42.0,30.0,65.0,171.0,528.0,426.0,1652.0,4098.0
HG01341,139.0,118.0,57.0,11.0,305.0,28.0,389.0,284.0,293.0,4087.0
HG02006,144.0,16.0,61.0,9.0,86.0,463.0,624.0,752.0,0.0,44.0
HG01465,41.0,132.0,1.0,29.0,305.0,469.0,535.0,397.0,210.0,44.0
NA19735,92.0,113.0,154.0,2.0,309.0,66.0,528.0,401.0,844.0,60.0
HG01136,27.0,131.0,41.0,10.0,76.0,465.0,58.0,391.0,3447.0,60.0
HG01362,0.0,117.0,49.0,0.0,321.0,211.0,73.0,510.0,9703.0,50.0
HG01453,92.0,99.0,0.0,1.0,65.0,164.0,389.0,358.0,844.0,63.0
HG01133,1.0,53.0,42.0,3.0,314.0,169.0,0.0,2.0,0.0,10.0
HG01967,1.0,53.0,55.0,9.0,55.0,463.0,503.0,360.0,842.0,58.0
HG01187,28.0,109.0,53.0,11.0,127.0,194.0,503.0,428.0,257.0,43.0
HG01412,143.0,0.0,155.0,10.0,316.0,149.0,505.0,360.0,250.0,4102.0
NA19675,52.0,81.0,53.0,10.0,321.0,469.0,388.0,358.0,3161.0,0.0
HG01951,144.0,96.0,42.0,30.0,304.0,469.0,389.0,400.0,82.0,16.0
HG00551,146.0,106.0,52.0,9.0,316.0,4621.0,57.0,28.0,728.0,43.0
HG01982,145.0,84.0,49.0,364.0,0.0,9874.0,0.0,101.0,1312.0,81.0
NA19740,92.0,16.0,53.0,30.0,304.0,16561.0,528.0,412.0,1639.0,4048.0
HG02274,145.0,110.0,0.0,30.0,65.0,174.0,389.0,397.0,3542.0,4057.0
HG01148,145.0,0.0,42.0,29.0,65.0,176.0,57.0,27.0,843.0,61.0
HG01168,42.0,128.0,49.0,0.0,51.0,204.0,493.0,397.0,291.0,16.0
HG01992,27.0,115.0,0.0,0.0,304.0,210.0,0.0,2.0,6.0,59.0
HG02271,142.0,115.0,4.0,1.0,65.0,460.0,389.0,412.0,2618.0,4076.0
HG02105,91.0,100.0,42.0,30.0,65.0,469.0,528.0,400.0,257.0,4071.0
HG01356,94.0,100.0,0.0,1.0,67.0,164.0,389.0,358.0,1635.0,4081.0
HG01390,54.0,78.0,49.0,10.0,305.0,477.0,57.0,27.0,754.0,5.0
HG02292,145.0,125.0,0.0,9.0,65.0,173.0,528.0,400.0,248.0,15.0
HG01048,145.0,54.0,54.0,9.0,320.0,464.0,528.0,400.0,80.0,7.0
HG00736,0.0,53.0,152.0,11.0,322.0,464.0,58.0,28.0,752.0,10.0
HG01107,43.0,121.0,41.0,284.0,65.0,172.0,57.0,412.0,3560.0,6.0
NA19728,92.0,97.0,43.0,11.0,71.0,25.0,528.0,400.0,814.0,60.0
HG00739,27.0,121.0,43.0,0.0,74.0,3.0,651.0,753.0,2711.0,43.0
NA19747,54.0,83.0,54.0,367.0,57.0,65.0,7.0,1.0,293.0,58.0
HG01286,96.0,106.0,41.0,367.0,65.0,171.0,528.0,400.0,292.0,72.0
HG01278,144.0,78.0,59.0,30.0,304.0,174.0,21.0,2.0,186.0,60.0
HG01073,96.0,105.0,56.0,9.0,55.0,9890.0,503.0,286.0,153.0,72.0
