,NA19129,HG02611,NA20314,NA18873,HG02976,NA20127,NA19327,HG02943,HG03039,HG03511,HG01992,HG01390,HG01148,HG01055,HG02253,HG01939,HG00739,HG02006,HG00551,NA19723,HG00983,NA18553,HG00607,HG02139,HG02116,HG02178,HG02138,HG02017,HG00584,HG02189,HG00137,NA20795,HG01789,NA20762,HG00141,NA20787,HG01680,HG00149,NA20757,HG00367,HG03929,HG03686,HG03687,HG03977,NA21113,HG03709,HG01589,NA20866,NA21101,HG03786
HG01789,5765.0,22088.0,2079.5,2944.5,2101.0,13662.5,3335.0,2087.5,10567.0,2192.5,5536.5,11851.0,8934.5,6192.0,6821.0,7011.0,2422.5,2674.0,12896.5,6953.5,1581.0,1757.0,2500.0,6701.5,8035.5,5961.0,7333.5,5147.5,14419.0,16000.5,6800.5,1802.0,0.0,2409.0,11645.5,1683.5,8611.5,13935.0,1630.0,4724.0,1490.5,4562.0,1942.0,1880.5,2082.0,1833.5,8426.0,2251.0,11662.0,5157.5
NA20762,12042.5,11618.0,2213.5,1225.0,2538.0,12147.5,2253.0,1827.0,3131.5,2631.0,1324.0,5991.5,10815.5,11006.5,2473.5,6901.0,2484.0,2436.5,8262.5,7021.5,6940.5,6433.0,1346.0,1996.0,8034.0,2487.0,7044.5,2597.0,6523.0,11594.5,6623.5,1793.0,2409.0,0.0,4001.5,1607.5,1866.0,13330.5,1871.0,5962.5,3312.0,2158.0,1861.0,943.0,1666.0,1435.0,9342.0,1525.0,2121.5,2102.0
HG00141,5809.0,12075.0,4046.5,3805.5,1505.5,13540.5,4505.0,1777.0,4700.5,4871.0,2562.0,10560.5,8632.5,7190.5,8375.5,1785.0,9141.0,3220.0,8151.0,6709.0,3308.0,2721.5,3964.0,5154.5,10091.5,3538.0,13640.5,4089.5,2376.5,17179.5,6749.0,3565.0,11645.5,4001.5,0.0,3643.0,4878.5,15274.5,5134.0,1290.0,1665.0,4522.0,4980.5,3588.0,4035.0,3353.5,7418.0,3501.0,9035.5,1319.5
NA20787,8707.5,12241.0,1736.5,1560.0,3674.0,11335.0,1979.5,1725.0,1809.5,3507.0,1543.0,6403.0,10698.5,10267.0,1897.5,5504.0,3467.5,2127.0,9798.0,7217.0,6505.0,7540.0,1845.5,1464.0,7514.0,1872.0,6077.5,2524.0,3419.0,11265.0,6146.0,1502.0,1683.5,1607.5,3643.0,0.0,1656.5,13819.0,1404.5,5918.5,1719.0,2630.5,1615.5,1812.0,2291.5,1572.0,10187.0,1361.5,1482.5,1574.0
HG01680,7909.5,11835.0,2093.5,1637.5,3577.0,12247.5,4099.5,2223.0,2346.0,3178.5,2447.0,6601.5,15655.0,15795.0,10080.0,7110.5,1993.5,2307.5,9452.0,6877.0,6489.5,5999.5,4374.0,2341.0,8424.0,3188.5,6956.5,3572.0,2967.5,12426.5,6876.5,1832.0,8611.5,1866.0,4878.5,1656.5,0.0,14841.5,2245.5,6535.0,2389.5,3498.0,2310.5,6299.5,2979.0,1657.5,10683.0,2865.5,1819.5,1466.0
HG00149,10645.0,1574.5,12854.5,13122.5,16775.0,1771.0,5957.5,12793.0,13334.0,14418.0,13087.0,5993.5,22710.5,13243.5,16870.0,17751.5,13997.0,13420.5,11011.5,6755.0,18113.5,17974.5,13648.5,13476.5,9939.0,13050.5,7274.0,14575.5,13411.5,4931.5,5878.0,12843.0,13935.0,13330.5,15274.5,13819.0,14841.5,0.0,13084.5,17926.5,13260.0,14076.5,14447.5,13750.5,13915.0,13113.5,11584.5,13048.5,14583.5,12768.0
NA20757,7866.0,11694.0,2204.0,2080.5,2794.5,12816.0,4738.0,2026.0,2176.5,2367.5,1744.0,6877.5,10763.5,10273.0,1923.5,5569.0,2375.5,2381.0,9221.0,7148.0,6463.0,6620.0,2061.0,1472.0,8131.0,2126.0,6346.5,1871.5,2557.0,11260.0,6572.0,2139.0,1630.0,1871.0,5134.0,1404.5,2245.5,13084.5,0.0,6018.0,2079.0,1887.5,1425.5,1686.0,1963.0,2177.0,10156.5,1570.0,1752.5,1922.5
HG00367,8307.0,12124.0,6106.0,3268.0,4248.0,16479.0,6678.0,2127.5,1748.0,7801.5,4675.5,6581.5,10859.0,6895.5,5494.0,2043.5,2853.5,2663.5,8490.5,7196.5,3183.0,2474.0,5972.5,2305.5,11965.5,6205.0,6000.5,5906.5,18558.0,11342.5,6667.0,5911.0,4724.0,5962.5,1290.0,5918.5,6535.0,17926.5,6018.0,0.0,4437.5,5248.5,6628.5,5765.0,6219.5,5717.5,12001.0,5664.0,1908.5,1550.5
HG03929,10700.0,16159.0,1365.5,1330.0,2877.0,12823.5,2686.0,1859.5,2924.5,3284.0,2155.5,6470.5,9248.5,9427.0,2418.5,4747.5,4828.5,2587.0,9715.5,10538.5,7904.0,4838.0,2043.0,3203.5,8712.5,2328.0,9995.0,3011.5,3067.5,13781.5,7317.0,2402.5,1490.5,3312.0,1665.0,1719.0,2389.5,13260.0,2079.0,4437.5,0.0,3090.5,5948.5,3216.5,2739.0,2428.5,7835.0,2218.5,5749.5,1406.0
HG03686,7797.5,12054.0,2150.5,1709.5,3285.0,12164.0,3572.0,2546.5,4077.0,2786.0,1456.0,7029.0,11176.0,10591.5,5599.0,6673.0,2332.5,1712.5,9034.5,6837.0,6700.5,6804.5,2878.5,2868.5,7926.5,2605.0,7261.0,2966.5,4561.0,11599.0,7206.0,2160.5,4562.0,2158.0,4522.0,2630.5,3498.0,14076.5,1887.5,5248.5,3090.5,0.0,3029.5,2354.0,2055.5,1402.5,10066.5,2537.5,2209.5,1695.0
HG03687,8015.5,11424.0,1792.0,1734.0,2807.0,11415.5,3209.0,1750.5,1791.0,3071.5,1762.5,6833.5,12166.0,10600.0,6679.5,6305.5,2327.5,2782.0,8907.5,7149.0,6257.5,6735.0,3284.5,1701.5,7900.5,1743.0,6328.5,2475.0,1826.0,11126.0,6385.5,2271.0,1942.0,1861.0,4980.5,1615.5,2310.5,14447.5,1425.5,6628.5,5948.5,3029.5,0.0,1705.0,2238.5,2091.0,13907.0,1496.0,1580.5,1879.5
HG03977,8255.5,11700.0,2674.5,1564.0,2897.5,11751.5,3160.5,2243.5,2245.5,3119.5,916.5,6500.5,10618.0,10242.0,2011.5,6559.5,2145.5,2440.5,8743.0,7119.0,6757.0,6654.0,1432.0,1841.0,8206.5,2093.5,6861.5,2685.5,2562.0,11318.5,6972.0,1805.5,1880.5,943.0,3588.0,1812.0,6299.5,13750.5,1686.0,5765.0,3216.5,2354.0,1705.0,0.0,1324.0,1592.0,11119.0,1608.0,1777.0,1581.0
NA21113,8676.0,11933.5,2346.5,1671.0,3009.0,13103.0,3629.5,2510.0,2479.5,3035.5,1855.0,6847.5,11190.0,10499.5,6792.0,6831.5,2000.5,2295.0,10525.5,6591.0,6434.0,6720.0,2258.5,1559.0,8263.0,2757.5,6484.0,4502.0,2516.0,13557.5,7015.0,1976.5,2082.0,1666.0,4035.0,2291.5,2979.0,13915.0,1963.0,6219.5,2739.0,2055.5,2238.5,1324.0,0.0,1784.0,10964.0,1907.0,1704.0,1865.5
HG03709,7049.5,10683.5,1315.5,1262.5,2642.5,12606.5,2989.0,1983.5,2954.0,3673.0,1347.0,6120.0,3356.5,10036.5,2398.5,6065.0,1491.0,1364.0,8206.0,5855.0,6005.0,5508.0,1998.0,1802.5,7307.5,2364.5,6220.0,2922.0,3277.0,11392.0,6120.5,796.0,1833.5,1435.0,3353.5,1572.0,1657.5,13113.5,2177.0,5717.5,2428.5,1402.5,2091.0,1592.0,1784.0,0.0,12538.5,1925.5,1368.5,1547.0
HG01589,10289.5,21438.0,9915.5,7523.5,11815.5,21016.0,10525.0,8059.5,9878.0,13790.5,10023.0,12535.5,17726.5,16492.5,8872.5,12635.5,9771.5,8169.5,10317.0,16755.5,15067.0,13682.0,9699.0,11995.0,17497.0,10422.5,9452.0,7481.5,18023.0,17952.0,14265.5,10808.0,8426.0,9342.0,7418.0,10187.0,10683.0,11584.5,10156.5,12001.0,7835.0,10066.5,13907.0,11119.0,10964.0,12538.5,0.0,9475.0,11829.0,8094.5
NA20866,7335.5,11494.5,1730.0,1934.0,2741.5,10873.5,2759.0,1889.0,1784.5,2458.0,2013.5,6781.0,10628.5,10590.0,6961.5,5929.5,2439.5,2728.0,8916.5,7537.5,6558.0,6713.0,1964.5,1752.5,7427.0,1462.5,6282.5,1638.0,1911.5,11115.0,6406.5,1922.0,2251.0,1525.0,3501.0,1361.5,2865.5,13048.5,1570.0,5664.0,2218.5,2537.5,1496.0,1608.0,1907.0,1925.5,9475.0,0.0,1998.0,2330.5
NA21101,5806.0,11037.0,1606.5,6452.0,6306.5,11900.0,3239.5,2101.5,5229.5,3100.0,1541.0,6870.0,10486.5,5680.0,9799.5,1744.0,11349.5,11879.5,21670.0,6334.5,5065.0,1870.5,3616.0,14125.0,11567.0,2298.5,15883.5,2804.5,1967.0,21277.0,6277.5,1635.5,11662.0,2121.5,9035.5,1482.5,1819.5,14583.5,1752.5,1908.5,5749.5,2209.5,1580.5,1777.0,1704.0,1368.5,11829.0,1998.0,0.0,20072.5
HG03786,6728.5,11064.0,1538.5,2641.5,1785.0,13781.0,2832.0,2713.0,2091.0,3454.0,1825.5,6289.0,9275.0,6105.0,2459.5,17102.0,2893.0,1335.5,8733.5,7021.5,2448.5,3206.0,2188.5,1913.5,8021.5,1691.5,8645.5,2316.0,1941.0,10886.0,6212.0,1072.5,5157.5,2102.0,1319.5,1574.0,1466.0,12768.0,1922.5,1550.5,1406.0,1695.0,1879.5,1581.0,1865.5,1547.0,8094.5,2330.5,20072.5,0.0
