gene1,gene2,D,Wn,hap_num,sample_num
HLA-F,HLA-DQA1,0.381398102117559,0.207898535860556,444,937
HLA-DQA1,HLA-G,0.426184986890966,0.231912971865721,465,879
HLA-G,HLA-DQA1,0.426184986890966,0.231912971865721,465,879
HLA-DQA1,HLA-H,0.406199910676798,0.229676020220498,371,744
HLA-H,HLA-DQA1,0.406199910676798,0.229676020220498,371,744
HLA-DQA1,HLA-K,0.261059917478937,0.2843175112648,192,749
HLA-K,HLA-DQA1,0.261059917478937,0.2843175112648,192,749
HLA-DQA1,HLA-L,0.249572259817306,0.283470984353182,162,943
HLA-L,HLA-DQA1,0.249572259817306,0.283470984353182,162,943
HLA-DQA1,HLA-N,0.285595069704278,0.320741038853243,86,208
HLA-N,HLA-DQA1,0.285595069704278,0.320741038853243,86,208
HLA-DQA1,HLA-P,0.239114706932354,0.261334786370455,161,897
HLA-P,HLA-DQA1,0.239114706932354,0.261334786370455,161,897
HLA-DQA1,HLA-S,0.672842670006054,0.60970028945659,56,44
HLA-S,HLA-DQA1,0.672842670006054,0.60970028945659,56,44
HLA-DQA1,HLA-V,0.334692114151377,0.377093019251498,98,247
HLA-V,HLA-DQA1,0.334692114151377,0.377093019251498,98,247
HLA-DQA1,HLA-W,0.305360378904432,0.258103074494117,273,871
HLA-W,HLA-DQA1,0.305360378904432,0.258103074494117,273,871
HLA-DQA1,MICA,0.363230080423416,0.231056272333442,429,1007
MICA,HLA-DQA1,0.363230080423416,0.231056272333442,429,1007
HLA-DQA1,MICB,0.265069837861678,0.238488021931631,252,1007
MICB,HLA-DQA1,0.265069837861678,0.238488021931631,252,1007
HLA-DQA1,TAP1,0.291802922582943,0.287212859991338,175,988
TAP1,HLA-DQA1,0.291802922582943,0.287212859991338,175,988
HLA-DQA1,TAP2,0.327163374190441,0.254763006504342,275,983
TAP2,HLA-DQA1,0.327163374190441,0.254763006504342,275,983
HLA-DQA2,HLA-C,0.418583573050503,0.396991897904139,394,971
HLA-C,HLA-DQA2,0.418583573050503,0.396991897904139,394,971
HLA-DQA2,HLA-DMB,0.235520156548075,0.180735818055577,131,968
HLA-DMB,HLA-DQA2,0.235520156548075,0.180735818055577,131,968
HLA-DQA2,HLA-DOB,0.457024863476877,0.313579244607153,97,928
HLA-DOB,HLA-DQA2,0.457024863476877,0.313579244607153,97,928
HLA-DQA2,HLA-DPB1,0.511309638690501,0.45738594991562,659,1004
HLA-DPB1,HLA-DQA2,0.511309638690501,0.45738594991562,659,1004
HLA-DQA2,HLA-DPB2,0.276125120053532,0.194988303497383,81,1009
HLA-DPB2,HLA-DQA2,0.276125120053532,0.194988303497383,81,1009
HLA-DQA2,HLA-DRA,0.366931824062004,0.245123576028874,284,1009
HLA-DRA,HLA-DQA2,0.366931824062004,0.245123576028874,284,1009
HLA-DQA2,HLA-DRB1,0.546400152783214,0.439031873320045,672,1009
HLA-DRB1,HLA-DQA2,0.546400152783214,0.439031873320045,672,1009
HLA-DQA2,HLA-DRB3,0.187333051655019,0.179817352447153,165,858
HLA-DRB3,HLA-DQA2,0.187333051655019,0.179817352447153,165,858
HLA-DQA2,HLA-DRB4,0.193672159890444,0.137746950856023,146,1008
HLA-DRB4,HLA-DQA2,0.193672159890444,0.137746950856023,146,1008
HLA-DQA2,HLA-DRB5,0.154483284855203,0.136238674742705,121,991
HLA-DRB5,HLA-DQA2,0.154483284855203,0.136238674742705,121,991
HLA-DQA2,HLA-F,0.276830699392913,0.29059780393792,226,938
HLA-F,HLA-DQA2,0.276830699392913,0.29059780393792,226,938
HLA-DQA2,HLA-H,0.329771271236821,0.199167577389663,179,744
HLA-H,HLA-DQA2,0.329771271236821,0.199167577389663,179,744
HLA-DQA2,HLA-L,0.144445473552277,0.168983284107749,67,944
HLA-L,HLA-DQA2,0.144445473552277,0.168983284107749,67,944
HLA-DQA2,HLA-N,0.147831894162807,0.390479673702715,32,208
HLA-N,HLA-DQA2,0.147831894162807,0.390479673702715,32,208
HLA-DQA2,HLA-S,0.336162630084258,0.427124508494808,29,44
HLA-S,HLA-DQA2,0.336162630084258,0.427124508494808,29,44
HLA-DQA2,HLA-V,0.183408499102691,0.205922550074993,38,247
HLA-V,HLA-DQA2,0.183408499102691,0.205922550074993,38,247
HLA-DQA2,HLA-W,0.169354517120544,0.153473587190214,117,872
HLA-W,HLA-DQA2,0.169354517120544,0.153473587190214,117,872
HLA-DQB1,HLA-B,0.750282994197877,0.396718082946854,908,942
HLA-B,HLA-DQB1,0.750282994197877,0.396718082946854,908,942
HLA-DQB1,HLA-C,0.667059961107115,0.365111671955642,831,970
HLA-C,HLA-DQB1,0.667059961107115,0.365111671955642,831,970
HLA-DQB1,HLA-DMB,0.420234787054439,0.403941935089481,435,964
HLA-DMB,HLA-DQB1,0.420234787054439,0.403941935089481,435,964
HLA-DQB1,HLA-DOA,0.545969219324041,0.35100999144352,595,936
HLA-DOA,HLA-DQB1,0.545969219324041,0.35100999144352,595,936
HLA-DQB1,HLA-DOB,0.529759390073177,0.456833995872855,402,927
HLA-DOB,HLA-DQB1,0.529759390073177,0.456833995872855,402,927
HLA-DQB1,HLA-DPB1,0.732098728520048,0.46142074006132,1098,999
HLA-DPB1,HLA-DQB1,0.732098728520048,0.46142074006132,1098,999
HLA-DQB1,HLA-DPB2,0.414119057154255,0.420906050552467,378,1001
HLA-DPB2,HLA-DQB1,0.414119057154255,0.420906050552467,378,1001
HLA-DQB1,HLA-DQA2,0.55612765997274,0.379332409941219,413,1000
HLA-DQA2,HLA-DQB1,0.55612765997274,0.379332409941219,413,1000
HLA-DQB1,HLA-DQB2,0.58301101480964,0.399355755966912,389,944
HLA-DQB2,HLA-DQB1,0.58301101480964,0.399355755966912,389,944
HLA-DQB1,HLA-DRA,0.740485189937669,0.533147222729418,583,1000
HLA-DRA,HLA-DQB1,0.740485189937669,0.533147222729418,583,1000
