Allele,Count
KIR3DL1*137,2
KIR3DL1*0150212,24
KIR3DL1*1440102,4
KIR3DL1*0060102,1
KIR3DL1*176,1
KIR3DL1*0150210,4
KIR3DL1*0170102,8
KIR3DL1*0060101,4
KIR3DL1*01509,5
KIR3DL1*087,4
KIR3DL1*0310102,3
KIR3DL1*0040114,4
KIR3DL1*0020106,3
KIR3DL1*0070401,2
KIR3DL1*0290103,1
KIR3DL1*181,3
KIR3DP1*0030212,10
KIR3DP1*068,2
KIR3DP1*00312,2
KIR3DP1*025,2
KIR3DP1*0010101,1
KIR3DP1*0030401,5
KIR3DP1*0100102,13
KIR3DP1*037,5
KIR3DP1*029,2
KIR3DP1*0030215,7
KIR3DP1*031,1
KIR3DP1*07001,2
KIR3DP1*036,2
KIR3DP1*040,1
KIR3DP1*0090104,3
KIR3DP1*0030210,5
KIR3DP1*06302,2
KIR3DP1*064,2
KIR3DP1*01004,4
KIR3DP1*066,1
KIR3DP1*017,12
KIR3DP1*075,3
KIR3DP1*00315,2
KIR3DP1*00604,1
KIR3DP1*01502,1
KIR3DP1*0030602,3
KIR3DP1*0270102,2
KIR2DS5*020,1
KIR2DS5*030,3
KIR2DS5*032,3
KIR2DS5*010,19
KIR2DS5*0020701,1
KIR2DS5*018,2
KIR2DS5*0020128,1
KIR2DS5*00502,15
KIR2DS5*019,1
KIR2DL5A*031,7
KIR2DL5A*030,3
KIR2DL5A*032N,3
KIR2DL5A*0050105,2
KIR2DL5A*00108,3
KIR2DL5A*028,3
KIR2DL5A*0330102,1
KIR2DL5A*00102,1
KIR3DS1*134,2
KIR3DS1*0130108,14
KIR3DS1*1280102,7
KIR3DS1*0130110,5
KIR3DS1*01309,1
KIR3DS1*126,5
KIR2DL2*0030104,15
KIR2DS2*0010126,1
KIR2DS2*0010111,16
KIR2DS2*0010122,1
KIR2DS2*0210101,2
KIR2DS2*0010128,3
KIR2DS2*0010121,5
KIR2DS3*0020102,10
KIR2DS3*0220101,7
KIR2DS3*019,2
KIR2DS3*0010309,5
KIR2DS3*0011302,2
KIR2DS3*0010317,9
KIR2DS3*0011201,7
KIR2DL5B*037,5
KIR2DP1*0030104,2
KIR2DP1*0020118,10
KIR2DP1*026,22
KIR2DP1*0020104,2
KIR2DP1*0160201,3
KIR2DP1*0020105,6
KIR2DP1*037,8
KIR2DP1*00107,8
KIR2DP1*0020121,2
KIR2DP1*0010209,2
KIR2DP1*0250101,1
KIR2DP1*0080101,1
KIR3DL2*00111,1
KIR2DL4*045,51
KIR2DL4*0080205,1
KIR2DL4*051,6
KIR2DL4*049,3
KIR2DL4*0010303,8
KIR2DL4*00901,3
KIR2DL4*0010308,4
KIR2DL2*0010105,12
KIR2DL2*0010103,6
KIR3DL3*012,43
KIR3DL3*0140201,2
KIR3DL3*100,6
KIR2DL1*0030254,3
KIR2DL1*0030270,4
KIR2DL1*0030244,10
KIR2DL1*124,1
KIR2DL1*0070102,9
KIR2DL1*00303,47
KIR2DL1*0030292,5
KIR2DL1*0030234,1
KIR2DL1*010,7
KIR2DL1*0030263,1
KIR2DL1*00204,2
KIR2DL1*0030242,1
KIR2DL1*01102,20
KIR2DL1*0031402,1
KIR2DL1*0030255,6
KIR2DL1*0030217,3
KIR2DL1*1210101,2
KIR2DL1*00407,2
KIR2DL1*0780101,1
KIR2DL1*041,8
KIR2DL1*0030269,2
KIR2DL1*098,1
KIR2DL1*0040103,1
KIR2DL1*0910102,5
KIR2DL1*0040115,3
KIR2DL1*0030243,1
KIR2DL1*0020130,1
KIR3DL1*0020102,3
KIR3DL1*0150215,2
KIR3DL1*157,1
KIR3DL1*1750101,1
KIR3DL1*022,32
KIR3DL1*0040112,3
KIR3DL1*0150103,2
KIR3DL1*145,2
KIR3DL1*0170101,16
KIR3DL1*0040202,2
KIR3DL1*0020108,1
KIR3DL1*0150220,2
KIR3DL1*0150223,1
KIR3DL1*0150202,16
KIR3DL1*160,2
KIR3DL1*063,3
KIR3DL1*0010801,1
KIR2DL3*010,18
KIR3DP1*0030216,5
KIR3DP1*078,3
KIR3DP1*072,2
KIR3DP1*0090105,4
KIR3DP1*00318,2
KIR3DP1*0030206,1
KIR3DP1*0030105,1
KIR2DS3*00108,10
KIR2DS3*0010305,2
KIR2DS3*010,2
KIR2DS3*0011202,5
KIR2DS3*0010310,1
KIR2DS3*00110,3
KIR2DS3*024,3
KIR2DS2*013,2
KIR2DS2*0010701,2
KIR2DS2*017,1
KIR2DS2*0010125,1
KIR2DS2*0010118,1
KIR2DS2*0200103,2
KIR2DS2*010,2
KIR2DS2*00602,2
KIR2DS2*0010113,1
KIR3DS1*1230101,1
KIR3DS1*129,3
KIR3DS1*1230102,3
KIR3DS1*1250101,1
KIR3DS1*1300101,4
KIR3DS1*0130118,3
KIR3DS1*131,1
KIR3DS1*1250102,2
KIR2DS5*037,2
KIR2DS5*0070101,26
KIR2DS5*0020105,2
KIR2DS5*036,3
KIR2DS5*0020133,2
KIR2DS5*0020101,2
KIR2DS1*0120101,7
KIR2DL5B*004,7
KIR2DL5B*0020103,10
KIR2DL5B*0080101,19
KIR2DL5B*0020202,2
KIR2DL5B*038,12
KIR2DL5B*00205,6
KIR2DL5B*0390102,1
KIR2DL5B*0020111,1
KIR2DL5B*00601,5
KIR2DL5B*036,4
KIR2DL5A*0210103,1
KIR2DL5A*0330101,2
KIR2DP1*0010205,5
KIR2DP1*0280101,1
KIR2DP1*0020101,2
KIR2DP1*01603,1
KIR3DL2*0071202,25
KIR3DL2*1350101,1
KIR3DL2*0071201,1
KIR3DL2*0071301,2
KIR2DL4*0080108,1
KIR2DL4*0080401,1
KIR2DL5B*00802,1
KIR3DL3*02802,5
KIR3DL3*01413,2
KIR3DL3*0010103,1
KIR3DL3*0020101,2
KIR3DL3*0090105,3
KIR2DL1*00405,1
KIR2DL1*0510101,2
KIR2DL1*0020115,1
KIR2DL1*084,7
KIR2DL1*0040125,1
KIR2DL1*042,2
KIR2DL1*080,11
KIR2DL1*00408,2
KIR2DL1*0030226,1
KIR2DL1*060,1
KIR2DL1*00702,1
KIR2DL1*0020124,1
KIR2DL1*0030257,1
KIR2DL1*1250101,1
KIR2DL1*0030235,1
KIR2DL1*0870103,1
KIR2DL1*053,1
KIR2DL1*0040126,1
KIR2DL1*090,1
KIR2DL1*0040132,1
KIR2DL1*0030233,1
KIR2DL1*063,1
KIR2DL1*0040202,1
KIR2DL1*0040118,1
KIR2DL1*0030249,1
KIR2DL1*1150103,1
KIR3DL1*0020107,1
KIR3DL1*1420101,3
KIR3DL1*00109,1
KIR3DL1*1470102,1
KIR3DL1*165,1
KIR3DL1*1440101,3
KIR3DL1*1700101,1
KIR3DL1*0010112,1
KIR3DL1*1700102,2
KIR3DL1*0050114,1
KIR3DL1*0050106,1
KIR3DL1*0090102,4
KIR3DL1*1470101,2
KIR3DL1*1490101,2
KIR3DL1*0020201,1
KIR3DP1*0140101,1
KIR3DP1*00903,2
KIR3DP1*060,2
KIR3DP1*0320102,1
KIR3DP1*01006,2
KIR3DP1*00316,2
KIR3DP1*01402,1
KIR3DP1*06502,1
KIR3DP1*039,1
KIR3DP1*01007,1
KIR3DP1*088,1
KIR3DP1*0280101,1
KIR3DP1*05602,1
KIR2DS3*011,4
KIR2DS3*0010307,2
KIR2DS3*0010320,1
KIR2DS3*017,1
KIR2DS3*0020106,1
KIR2DS3*0020109,1
KIR2DS2*018,1
KIR2DS2*015,3
KIR2DS2*0010116,1
