gene1,gene2,D,Wn,hap_num,sample_num,Wab,min_w
TRBV14,TRBJ1-6,0.265464532970796,0.11450868327137,4,669,0.114508683271369,0.114508683271369
TRBJ1-6,TRBV14,0.265464532970796,0.11450868327137,4,669,0.114508683271369,0.114508683271369
TRBV14,TRBJ2-7,0.0244599144433433,0.0172978596009112,4,690,0.0172978596009456,0.0172978596009417
TRBJ2-7,TRBV14,0.0244599144433433,0.0172978596009112,4,690,0.0172978596009417,0.0172978596009417
TRBV14,TRBV15,0.881739238290942,0.106094625827103,4,754,0.106094625827094,0.106094625827094
TRBV15,TRBV14,0.881739238290942,0.106094625827103,4,754,0.106094625827098,0.106094625827094
TRBV14,TRBV16,0.760422590609383,0.130863050496012,4,732,0.130863050496025,0.130863050496025
TRBV16,TRBV14,0.760422590609383,0.130863050496012,4,732,0.130863050496025,0.130863050496025
TRBV14,TRBV17,0.871824988398367,0.221950033391116,4,737,0.221950033391116,0.221950033391116
TRBV17,TRBV14,0.871824988398367,0.221950033391116,4,737,0.221950033391119,0.221950033391116
TRBV14,TRBV19,0.371702645320669,0.129005823001872,4,723,0.12900582300192,0.129005823001879
TRBV19,TRBV14,0.371702645320669,0.129005823001872,4,723,0.129005823001879,0.129005823001879
TRBV14,TRBV20-1,0.572691403270637,0.697258374170423,6,722,0.334532853110602,0.334532853110602
TRBV20-1,TRBV14,0.572691403270637,0.697258374170423,6,722,0.697258374170423,0.334532853110602
TRBV14,TRBV21-1,0.59109649951554,0.134908559205192,4,699,0.134908559205194,0.134908559205194
TRBV21-1,TRBV14,0.59109649951554,0.134908559205192,4,699,0.134908559205199,0.134908559205194
TRBV14,TRBV24-1,0.772154910252964,0.169528453905872,4,682,0.169528453905876,0.169528453905876
TRBV24-1,TRBV14,0.772154910252964,0.169528453905872,4,682,0.169528453905881,0.169528453905876
TRBV14,TRBV30,0.0552723620009552,0.0311792200188785,8,704,0.0189136688465941,0.0189136688465941
TRBV30,TRBV14,0.0552723620009552,0.0311792200188785,8,704,0.0311792200188722,0.0189136688465941
TRBV15,TRBJ1-6,0.872179974388944,0.250646321112499,4,668,0.250646321112499,0.250646321112499
TRBJ1-6,TRBV15,0.872179974388944,0.250646321112499,4,668,0.2506463211125,0.250646321112499
TRBV15,TRBJ2-7,0.260460781921843,0.257940080907263,4,684,0.257940080907254,0.257940080907252
TRBJ2-7,TRBV15,0.260460781921843,0.257940080907263,4,684,0.257940080907252,0.257940080907252
TRBV15,TRBV16,0.950294106649817,0.680979399885558,4,738,0.680979399885551,0.680979399885545
TRBV16,TRBV15,0.950294106649817,0.680979399885558,4,738,0.680979399885545,0.680979399885545
TRBV15,TRBV17,0.900112195952429,0.170379760477256,4,742,0.170379760477259,0.170379760477259
TRBV17,TRBV15,0.900112195952429,0.170379760477256,4,742,0.170379760477269,0.170379760477259
TRBV15,TRBV19,0.135249836136017,0.0645995015625608,4,719,0.0645995015625077,0.0645995015625077
TRBV19,TRBV15,0.135249836136017,0.0645995015625608,4,719,0.0645995015625544,0.0645995015625077
TRBV15,TRBV20-1,0.963069870954331,0.298786716496517,5,720,0.255270946926829,0.255270946926829
TRBV20-1,TRBV15,0.963069870954331,0.298786716496517,5,720,0.298786716496514,0.255270946926829
TRBV15,TRBV21-1,0.293038800798954,0.050701694607714,4,700,0.0507016946076987,0.0507016946076715
TRBV21-1,TRBV15,0.293038800798954,0.050701694607714,4,700,0.0507016946076715,0.0507016946076715
TRBV15,TRBV24-1,0.733989846127332,0.117750540754541,4,690,0.117750540754535,0.117750540754529
TRBV24-1,TRBV15,0.733989846127332,0.117750540754541,4,690,0.117750540754529,0.117750540754529
TRBV15,TRBV30,0.607208708972591,0.389148114570916,8,705,0.201237925994146,0.201237925994146
TRBV30,TRBV15,0.607208708972591,0.389148114570916,8,705,0.389148114570912,0.201237925994146
TRBV16,TRBJ1-6,0.721121359631532,0.283382429695308,4,662,0.283382429695307,0.283382429695304
TRBJ1-6,TRBV16,0.721121359631532,0.283382429695308,4,662,0.283382429695304,0.283382429695304
TRBV16,TRBJ2-7,0.305743947539992,0.221138556716941,4,673,0.221138556716966,0.221138556716955
TRBJ2-7,TRBV16,0.305743947539992,0.221138556716941,4,673,0.221138556716955,0.221138556716955
