y,x,Type,subtype,color
TRBV17,1,VDJ,TCR,#d6d69b
TRBV18,1,VDJ,TCR,#d6d69b
TRBV19,1,VDJ,TCR,#d6d69b
TRBV20-1,1,VDJ,TCR,#d6d69b
TRBV21-1,1,VDJ,TCR,#d6d69b
TRBV23-1,1,VDJ,TCR,#d6d69b
TRBV24-1,1,VDJ,TCR,#d6d69b
TRBV25-1,1,VDJ,TCR,#d6d69b
TRBV26,1,VDJ,TCR,#d6d69b
TRBV27,1,VDJ,TCR,#d6d69b
TRBV28,1,VDJ,TCR,#d6d69b
TRBV29-1,1,VDJ,TCR,#d6d69b
TRBD1,1,VDJ,TCR,#d6d69b
TRBJ1-1,1,VDJ,TCR,#d6d69b
TRBJ1-2,1,VDJ,TCR,#d6d69b
TRBJ1-3,1,VDJ,TCR,#d6d69b
TRBJ1-4,1,VDJ,TCR,#d6d69b
TRBJ1-5,1,VDJ,TCR,#d6d69b
TRBJ1-6,1,VDJ,TCR,#d6d69b
TRBJ2-1,1,VDJ,TCR,#d6d69b
TRBJ2-2,1,VDJ,TCR,#d6d69b
TRBJ2-2P,1,VDJ,TCR,#d6d69b
TRBJ2-3,1,VDJ,TCR,#d6d69b
TRBJ2-4,1,VDJ,TCR,#d6d69b
TRBJ2-5,1,VDJ,TCR,#d6d69b
TRBJ2-6,1,VDJ,TCR,#d6d69b
TRBJ2-7,1,VDJ,TCR,#d6d69b
TRBV30,1,VDJ,TCR,#d6d69b
TRAJ2,1,VDJ,TCR,#d6d69b
IGHV1-18,1,VDJ,IG,#2a347a
IGHV3-20,1,VDJ,IG,#2a347a
IGHV3-22,1,VDJ,IG,#2a347a
IGHV1-69,1,VDJ,IG,#2a347a
IGHV2-70D,1,VDJ,IG,#2a347a
IGHV4-31,1,VDJ,IG,#2a347a
IGHV1-69-2,1,VDJ,IG,#2a347a
IGKV7-3,1,VDJ,IG,#2a347a
IGKV2-4,1,VDJ,IG,#2a347a
IGKV1-6,1,VDJ,IG,#2a347a
IGKV3-7,1,VDJ,IG,#2a347a
IGKV1-8,1,VDJ,IG,#2a347a
IGKV1D-13,1,VDJ,IG,#2a347a
IGKV1D-12,1,VDJ,IG,#2a347a
IGHV3-15,1,VDJ,IG,#2a347a
IGHV3-69-1,1,VDJ,IG,#2a347a
IGHV4-4,1,VDJ,IG,#2a347a
IGHV3-21,1,VDJ,IG,#2a347a
IGKV5-2,1,VDJ,IG,#2a347a
IGKV3-15,1,VDJ,IG,#2a347a
IGHJ5,1,VDJ,IG,#2a347a
IGHJ4,1,VDJ,IG,#2a347a
IGHV7-4-1,1,VDJ,IG,#2a347a
IGHV3-64D,1,VDJ,IG,#2a347a
IGHD1-14,1,VDJ,IG,#2a347a
IGHV6-1,1,VDJ,IG,#2a347a
IGKJ2,1,VDJ,IG,#2a347a
IGKJ1,1,VDJ,IG,#2a347a
IGHD6-19,1,VDJ,IG,#2a347a
IGHD4-17,1,VDJ,IG,#2a347a
IGHD3-16,1,VDJ,IG,#2a347a
IGHD2-15,1,VDJ,IG,#2a347a
IGHD6-13,1,VDJ,IG,#2a347a
IGHD5-12,1,VDJ,IG,#2a347a
IGHD4-11,1,VDJ,IG,#2a347a
IGHD3-10,1,VDJ,IG,#2a347a
IGHD3-9,1,VDJ,IG,#2a347a
IGHD2-8,1,VDJ,IG,#2a347a
IGHD1-7,1,VDJ,IG,#2a347a
IGHD6-6,1,VDJ,IG,#2a347a
IGHD5-5,1,VDJ,IG,#2a347a
IGHD4-4,1,VDJ,IG,#2a347a
IGHD3-3,1,VDJ,IG,#2a347a
IGHV3-32,1,VDJ,IG,#2a347a
IGHD1-20,1,VDJ,IG,#2a347a
TRBV5-7,1,VDJ,TCR,#d6d69b
IGHD4-23,1,VDJ,IG,#2a347a
IGHD3-22,1,VDJ,IG,#2a347a
IGHD2-21,1,VDJ,IG,#2a347a
IGHD5-18,1,VDJ,IG,#2a347a
IGHD5-24,1,VDJ,IG,#2a347a
IGHD7-27,1,VDJ,IG,#2a347a
IGHD1-26,1,VDJ,IG,#2a347a
IGHD6-25,1,VDJ,IG,#2a347a
IGHJ3,1,VDJ,IG,#2a347a
IGHJ1,1,VDJ,IG,#2a347a
IGHJ2,1,VDJ,IG,#2a347a
IGHV3-29,1,VDJ,IG,#2a347a
