Family	Allele	ACB	ASW	BEB	CDX	CEU	CHB	CHS	CLM	ESN	FIN	GBR	GIH	GWD	IBS	ITU	JPT	KHV	LWK	MSL	MXL	PEL	PJL	PUR	STU	TSI	YRI
TCR	TRAV9-2*02	0.41304347826086957	0.4305555555555556	0.313953488372093	0.28205128205128205	0.3620689655172414	0.4	0.2073170731707317	0.36363636363636365	0.5	0.375	0.25609756097560976	0.32432432432432434	0.5606060606060606	0.225	0.2564102564102564	0.421875	0.2558139534883721	0.6142857142857143	0.44871794871794873	0.35294117647058826	0.48863636363636365	0.3625	0.27380952380952384	0.3625	0.3382352941176471	0.4305555555555556
TCR	TRAV9-2*01	0.358695652173913	0.3888888888888889	0.5348837209302325	0.6794871794871795	0.5517241379310345	0.5857142857142857	0.7317073170731707	0.48863636363636365	0.3125	0.4027777777777778	0.4634146341463415	0.581081081081081	0.21212121212121213	0.5125	0.6025641025641025	0.4375	0.6511627906976745	0.22857142857142856	0.34615384615384615	0.5	0.5	0.475	0.5714285714285714	0.5	0.5441176470588235	0.375
TCR	TRAV8-6*01	0.05434782608695652	0.1111111111111111	0.36046511627906974	0.34615384615384615	0.3793103448275862	0.5	0.3780487804878049	0.3181818181818182	0.052083333333333336	0.2222222222222222	0.2926829268292683	0.35135135135135137	0.09090909090909091	0.3	0.28205128205128205	0.375	0.4186046511627907	0.1	0.05128205128205128	0.4117647058823529	0.5113636363636364	0.2875	0.2261904761904762	0.375	0.35294117647058826	0.125
TCR	TRAV8-6*02	0.9456521739130435	0.8888888888888888	0.6395348837209303	0.6538461538461539	0.6206896551724138	0.5	0.6219512195121951	0.6818181818181818	0.9479166666666666	0.7777777777777778	0.7073170731707317	0.6486486486486487	0.9090909090909091	0.7	0.6923076923076923	0.5625	0.5116279069767442	0.8714285714285714	0.9230769230769231	0.47058823529411764	0.4431818181818182	0.6875	0.75	0.625	0.6176470588235294	0.875
TCR	TRAV20*02	0.9782608695652174	0.9027777777777778	1.0	0.9871794871794872	0.9827586206896551	0.9428571428571428	1.0	0.9318181818181818	0.9583333333333334	0.9861111111111112	0.9024390243902439	0.9459459459459459	0.9242424242424242	0.9375	0.9358974358974359	0.96875	0.9302325581395349	0.9428571428571428	0.9615384615384616	0.9117647058823529	1.0	0.9625	0.9166666666666666	0.975	0.9264705882352942	0.9583333333333334
TCR	TRAV21*01	0.75	0.6944444444444444	0.5581395348837209	0.46153846153846156	0.46551724137931033	0.5571428571428572	0.5365853658536586	0.5568181818181818	0.8333333333333334	0.4861111111111111	0.5121951219512195	0.5405405405405406	0.8333333333333334	0.5375	0.5897435897435898	0.53125	0.47674418604651164	0.8714285714285714	0.8461538461538461	0.5588235294117647	0.5795454545454546	0.4875	0.4880952380952381	0.575	0.5	0.8333333333333334
TCR	TRAV26-1*02	0.18478260869565216	0.19444444444444445	0.5348837209302325	0.28205128205128205	0.5	0.6285714285714286	0.34146341463414637	0.375	0.25	0.2916666666666667	0.34146341463414637	0.47297297297297297	0.19696969696969696	0.2875	0.5128205128205128	0.578125	0.43023255813953487	0.11428571428571428	0.16666666666666666	0.27941176470588236	0.19318181818181818	0.4625	0.2857142857142857	0.3875	0.4117647058823529	0.3333333333333333
TCR	TRAV8-7*02	0.5434782608695652	0.4305555555555556	0.627906976744186	0.7051282051282052	0.7413793103448276	0.6285714285714286	0.6463414634146342	0.5909090909090909	0.6145833333333334	0.625	0.6707317073170732	0.5405405405405406	0.3787878787878788	0.75	0.5769230769230769	0.78125	0.6627906976744186	0.3142857142857143	0.38461538461538464	0.6323529411764706	0.6363636363636364	0.6	0.6309523809523809	0.6375	0.7058823529411765	0.5555555555555556
TCR	TRAV27*01	0.8260869565217391	0.7777777777777778	0.9534883720930233	1.0	0.7758620689655172	0.9714285714285714	1.0	0.9318181818181818	0.7916666666666666	0.9861111111111112	0.926829268292683	0.9459459459459459	0.7878787878787878	0.8625	0.9102564102564102	0.90625	0.9302325581395349	0.7428571428571429	0.6923076923076923	0.8088235294117647	0.9090909090909091	0.9125	0.8809523809523809	0.925	0.8676470588235294	0.6805555555555556
TCR	TRAV30*05	0.1956521739130435	0.19444444444444445	0.5581395348837209	0.7051282051282052	0.3103448275862069	0.5428571428571428	0.6463414634146342	0.3409090909090909	0.16666666666666666	0.2638888888888889	0.24390243902439024	0.22972972972972974	0.06060606060606061	0.2625	0.38461538461538464	0.625	0.6046511627906976	0.08571428571428572	0.15384615384615385	0.5147058823529411	0.3068181818181818	0.375	0.16666666666666666	0.475	0.22058823529411764	0.09722222222222222
TCR	TRAV30*01	0.8043478260869565	0.7777777777777778	0.4418604651162791	0.2948717948717949	0.6896551724137931	0.4	0.35365853658536583	0.6590909090909091	0.8333333333333334	0.7361111111111112	0.7560975609756098	0.7702702702702703	0.9393939393939394	0.6875	0.6153846153846154	0.34375	0.32558139534883723	0.8857142857142857	0.8461538461538461	0.4264705882352941	0.6931818181818182	0.6	0.7857142857142857	0.475	0.75	0.8194444444444444
