HLA_allele,KIR_allele,Pearson_r,p_value,p_value_PC_adjusted,bootstrap_pval,corr_tag,empirical_p_value,p_value_corrected,permutation_p_value,split_sample_replication_rate
HLA-DOB*01,TRBJ1-3*01,0.8491593428804717,4.1493620691364126e-08,5.2550223514791694e-05,0.007,HLA_vs_TCR,0.0014,2.9399161282970914e-06,0.0002564102564102564,0.7692307692307693
HLA-DOB*01,TRBD1*01,0.834972513358296,1.129467758025714e-07,0.00016879511746934023,0.013,HLA_vs_TCR,0.0018,4.207267398645785e-06,0.001282051282051282,0.5555555555555556
TAP2*02,TRBJ1-6*01,0.8233627221528589,2.396395608193024e-07,0.016857808840117332,0.014,HLA_vs_TCR,0.0021,7.141258912415211e-06,0.0033333333333333335,0.17647058823529413
TAP2*01,TRBV7-2*01,0.8102956174614289,5.250795828014827e-07,0.00288253659180764,0.008,HLA_vs_TCR,0.0027,1.303947630623682e-05,0.0038461538461538464,0.375
MICA*004,TRBV20-1*02,0.8002896359542322,9.205106475597603e-07,0.022613521140522626,0.037,HLA_vs_TCR,0.0032,1.9202898725512542e-05,0.0038461538461538464,
TAP2*01,TRBV7-2*02,-0.7946324283480314,1.2472193012603903e-06,0.012455989972608293,0.01,HLA_vs_TCR,0.0036,1.9202898725512542e-05,0.005128205128205128,0.13333333333333333
HLA-DOB*01,TRBJ1-5*01,0.7940112363599511,1.2887851493632578e-06,0.0014771859698995246,0.042,HLA_vs_TCR,0.0036,1.9202898725512542e-05,0.005384615384615384,0.7142857142857143
HLA-DOB*01,TRBJ1-4*01,0.796538171615108,1.1270982273930646e-06,0.002194583545090316,0.022,HLA_vs_TCR,0.0033,1.9202898725512542e-05,0.004871794871794872,0.625
TAP2*01,TRBJ1-6*01,-0.7909426018978511,1.5129245140636265e-06,0.02378684213762928,0.031,HLA_vs_TCR,0.0039,2.0493250235952756e-05,0.005897435897435898,0.21739130434782608
HLA-DPB2*03,TRBV30*02,0.7891721183670075,1.6575902129729832e-06,0.0405279657740914,0.01,HLA_vs_TCR,0.004,2.0581745144414543e-05,0.00641025641025641,
MICB*002,TRBJ2-7*02,0.7804312368778324,2.5701294074330018e-06,0.015661733972477665,0.02,HLA_vs_TCR,0.005,2.9457637054424406e-05,0.007948717948717949,
HLA-DPB2*01,TRBV30*02,-0.7614848230938791,6.237055525075316e-06,0.02346914180941148,0.003,HLA_vs_TCR,0.0073,6.638009094544444e-05,0.011282051282051283,
TAP2*02,TRBV7-2*01,-0.7565652740775565,7.749663622368071e-06,0.03796111008591126,0.045,HLA_vs_TCR,0.0081,6.823980694780237e-05,0.012307692307692308,0.625
