sample,gene,read_num
HG02109,KIR2DL1,44
HG02109,KIR2DL2,0
HG02109,KIR2DL3,42
HG02109,KIR2DL4,32
HG02109,KIR2DL5A,0
HG02109,KIR2DL5B,0
HG02109,KIR2DP1,36
HG02109,KIR2DS1,0
HG02109,KIR2DS2,0
HG02109,KIR2DS3,0
HG02109,KIR2DS4,32
HG02109,KIR2DS5,0
HG02109,KIR3DL1,37
HG02109,KIR3DL2,118
HG02109,KIR3DL3,46
HG02109,KIR3DP1,9
HG02109,KIR3DS1,0
HG02145,KIR2DL1,60
HG02145,KIR2DL2,0
HG02145,KIR2DL3,79
HG02145,KIR2DL4,61
HG02145,KIR2DL5A,2
HG02145,KIR2DL5B,6
HG02145,KIR2DP1,50
HG02145,KIR2DS1,0
HG02145,KIR2DS2,0
HG02145,KIR2DS3,18
HG02145,KIR2DS4,65
HG02145,KIR2DS5,0
HG02145,KIR3DL1,66
HG02145,KIR3DL2,160
HG02145,KIR3DL3,76
HG02145,KIR3DP1,9
HG02145,KIR3DS1,0
HG02148,KIR2DL1,60
HG02148,KIR2DL2,0
HG02148,KIR2DL3,64
HG02148,KIR2DL4,51
HG02148,KIR2DL5A,0
HG02148,KIR2DL5B,0
HG02148,KIR2DP1,49
HG02148,KIR2DS1,0
HG02148,KIR2DS2,0
HG02148,KIR2DS3,0
HG02148,KIR2DS4,47
HG02148,KIR2DS5,0
HG02148,KIR3DL1,40
HG02148,KIR3DL2,178
HG02148,KIR3DL3,69
HG02148,KIR3DP1,8
HG02148,KIR3DS1,0
HG02257,KIR2DL1,58
HG02257,KIR2DL2,22
HG02257,KIR2DL3,0
HG02257,KIR2DL4,49
HG02257,KIR2DL5A,0
HG02257,KIR2DL5B,19
HG02257,KIR2DP1,59
HG02257,KIR2DS1,0
HG02257,KIR2DS2,20
HG02257,KIR2DS3,43
HG02257,KIR2DS4,48
HG02257,KIR2DS5,0
HG02257,KIR3DL1,59
HG02257,KIR3DL2,123
HG02257,KIR3DL3,44
HG02257,KIR3DP1,7
HG02257,KIR3DS1,0
HG02486,KIR2DL1,59
HG02486,KIR2DL2,19
HG02486,KIR2DL3,37
HG02486,KIR2DL4,76
HG02486,KIR2DL5A,0
HG02486,KIR2DL5B,12
HG02486,KIR2DP1,63
HG02486,KIR2DS1,0
HG02486,KIR2DS2,14
HG02486,KIR2DS3,16
HG02486,KIR2DS4,65
HG02486,KIR2DS5,0
HG02486,KIR3DL1,60
HG02486,KIR3DL2,155
HG02486,KIR3DL3,64
HG02486,KIR3DP1,12
HG02486,KIR3DS1,0
HG02559,KIR2DL1,67
HG02559,KIR2DL2,0
HG02559,KIR2DL3,54
HG02559,KIR2DL4,75
HG02559,KIR2DL5A,0
HG02559,KIR2DL5B,0
HG02559,KIR2DP1,51
HG02559,KIR2DS1,0
HG02559,KIR2DS2,0
HG02559,KIR2DS3,0
HG02559,KIR2DS4,51
HG02559,KIR2DS5,0
HG02559,KIR3DL1,58
HG02559,KIR3DL2,150
HG02559,KIR3DL3,59
HG02559,KIR3DP1,7
HG02559,KIR3DS1,0
HG02572,KIR2DL1,34
HG02572,KIR2DL2,0
HG02572,KIR2DL3,33
HG02572,KIR2DL4,57
HG02572,KIR2DL5A,0
HG02572,KIR2DL5B,0
HG02572,KIR2DP1,42
HG02572,KIR2DS1,0
HG02572,KIR2DS2,0
HG02572,KIR2DS3,0
HG02572,KIR2DS4,49
HG02572,KIR2DS5,0
HG02572,KIR3DL1,43
HG02572,KIR3DL2,97
HG02572,KIR3DL3,45
HG02572,KIR3DP1,14
HG02572,KIR3DS1,0
HG02622,KIR2DL1,66
HG02622,KIR2DL2,0
HG02622,KIR2DL3,49
HG02622,KIR2DL4,90
HG02622,KIR2DL5A,0
HG02622,KIR2DL5B,0
HG02622,KIR2DP1,44
HG02622,KIR2DS1,0
HG02622,KIR2DS2,0
HG02622,KIR2DS3,0
HG02622,KIR2DS4,66
HG02622,KIR2DS5,0
HG02622,KIR3DL1,60
HG02622,KIR3DL2,159
HG02622,KIR3DL3,66
HG02622,KIR3DP1,13
HG02622,KIR3DS1,25
HG02630,KIR2DL1,88
HG02630,KIR2DL2,0
HG02630,KIR2DL3,73
HG02630,KIR2DL4,98
HG02630,KIR2DL5A,13
HG02630,KIR2DL5B,0
HG02630,KIR2DP1,54
HG02630,KIR2DS1,29
HG02630,KIR2DS2,0
HG02630,KIR2DS3,0
HG02630,KIR2DS4,60
HG02630,KIR2DS5,17
