Allele_1,Allele_2,Family_1,Family_2,Stability_Score
IGHV3-62*06,IGHV1-58*02,IG,IG,0.82
IGHV8-51-1*04,IGHV3-52*02,IG,IG,0.82
HLA-A*02,IGLV3-21*04,HLA,IG,0.81
HLA-A*24,IGHV1-69*02,HLA,IG,0.81
IGHV4-55*01,IGHV3-54*02,IG,IG,0.81
CYP2B6*15,TRGV3*01,CYP,TCR,0.81
IGHV3-20*02,IGHV3-13*01,IG,IG,0.81
IGLV3-9*01,IGLJ2*01,IG,IG,0.81
IGHV5-51*03,IGHV3-13*03,IG,IG,0.81
HLA-B*40,IGKV1-27*01,HLA,IG,0.81
IGHD6-13*01,IGHD2-15*01,IG,IG,0.81
IGHV4-31*09,IGLV3-10*03,IG,IG,0.81
IGHJ6*04,IGHV7-4-1*01,IG,IG,0.81
IGHV1-69*02,TRDV2*01,IG,TCR,0.81
TRBV5-5*02,TRBV6-6*02,TCR,TCR,0.81
IGLV1-51*02,IGHV3-13*01,IG,IG,0.81
IGKV1D-8*01,IGKV1D-8*02,IG,IG,0.81
HLA-DPA2*01,HLA-DPB1*02,HLA,HLA,0.81
IGHV3-43*01,IGHV1-45*02,IG,IG,0.81
IGHV4-61*02,IGKV1-9*03,IG,IG,0.81
KIR3DL2*010,IGLV2-18*01,KIR,IG,0.81
IGHD4-11*01,IGHD3-10*01,IG,IG,0.8
KIR2DL4*049,KIR2DL5A*001,KIR,KIR,0.8
KIR2DL1*003,TRBV6-6*02,KIR,TCR,0.8
IGHD1-7*01,IGHD4-4*01,IG,IG,0.8
IGKV7-3*01,IGKV2-4*01,IG,IG,0.8
IGHD4-11*01,IGHD5-12*01,IG,IG,0.8
HLA-A*23,KIR3DL3*027,HLA,KIR,0.8
HLA-DPB1*13,CYP2C19*17,HLA,CYP,0.8
KIR2DL5B*035,KIR3DL3*003,KIR,KIR,0.8
CYP2C9*82,IGKV1D-8*01,CYP,IG,0.8
CYP2D6*141,TRGV2*03,CYP,TCR,0.8
TRBV6-6*01,TRBV5-5*01,TCR,TCR,0.8
IGHV3-16*03,IGHV3-64D*06,IG,IG,0.8
HLA-B*51,CYP4F2*1,HLA,CYP,0.8
CYP2A6*54,IGKV2-29*01,CYP,IG,0.8
HLA-B*40,TRAV12-2*02,HLA,TCR,0.8
CYP3A4*20,TRGV2*03,CYP,TCR,0.8
IGLV6-57*03,IGLV2-14*04,IG,IG,0.8
HLA-DPB2*01,IGKJ4*02,HLA,IG,0.79
IGHD1-20*01,IGHD5-18*01,IG,IG,0.79
TRBV9*01,TRBV6-4*02,TCR,TCR,0.79
TRBV14*02,TRBV20-1*05,TCR,TCR,0.79
IGKV2-30*02,IGKV1-27*02,IG,IG,0.79
KIR3DL3*096,TRAV6*01,KIR,TCR,0.79
IGKV6D-41*01,TRBJ2-6*01,IG,TCR,0.79
HLA-DRB1*07,IGLV2-23*03,HLA,IG,0.79
KIR2DL5B*002,IGHV3-52*01,KIR,IG,0.79
HLA-A*03,IGHV4-31*01,HLA,IG,0.79
IGKV1-27*02,IGHV4-61*12,IG,IG,0.79
TRBV7-9*01,TRBV10-3*01,TCR,TCR,0.79
IGHD2-21*02,IGHD6-19*01,IG,IG,0.79
HLA-DPA1*01,IGLV2-14*04,HLA,IG,0.79
IGHV4-61*01,IGLV5-45*01,IG,IG,0.78
IGHV7-34-1*01,IGHV7-34-1*02,IG,IG,0.78
HLA-U*01,TRGJP*01,HLA,TCR,0.78
NAT2*5,IGHV4-31*01,CYP,IG,0.78
TRBV11-3*01,TRBV20-1*05,TCR,TCR,0.78
IGHV3-62*03,IGHV1-68*01,IG,IG,0.78
IGLJ7*02,IGHV3-13*06,IG,IG,0.78
IGKV6-21*01,IGKV6-21*02,IG,IG,0.78
HLA-DPA2*02,HLA-DPB1*02,HLA,HLA,0.78
HLA-DQA1*01,HLA-DRB5*01,HLA,HLA,0.78
IGKJ4*01,IGKJ3*01,IG,IG,0.78
KIR2DP1*001,IGKV2D-30*01,KIR,IG,0.78
IGHV5-10-1*03,IGHV3-13*05,IG,IG,0.78
HLA-A*01,IGLV10-54*01,HLA,IG,0.78
IGHV3-30*04,TRAV35*02,IG,TCR,0.77
KIR2DP1*009,TRBV10-1*02,KIR,TCR,0.77
NAT2*7,TRAV6*03,CYP,TCR,0.77
IGLV2-14*04,IGHV2-70D*14,IG,IG,0.77
IGHV3-32*01,TRBV10-1*02,IG,TCR,0.77
IGHV2-5*01,IGKJ2*04,IG,IG,0.77
MICA*009,TRBV24-1*01,HLA,TCR,0.77
KIR3DL3*077,TRBV7-7*02,KIR,TCR,0.77
CYP2D6*41,TRAV9-2*03,CYP,TCR,0.77
IGHD4-17*01,IGHD2-15*01,IG,IG,0.77
KIR3DL3*100,IGLV2-34*01,KIR,IG,0.77
HLA-DPA2*01,SLCO1B1*45,HLA,CYP,0.77
IGKV1-12*02,TRAJ32*01,IG,TCR,0.77
IGLV2-11*01,IGHD1-26*01,IG,IG,0.77
IGHD4-11*01,IGLV7-46*01,IG,IG,0.77
SLCO1B1*19,TRBV30*01,CYP,TCR,0.76
IGHV3-71*01,TRAV9-2*03,IG,TCR,0.76
HLA-DQB1*05,IGHD1-14*01,HLA,IG,0.76
TRBV7-3*01,TRBV7-3*03,TCR,TCR,0.76
IGHV5-51*01,IGHV3-13*03,IG,IG,0.76
CYP2A6*48,IGHD5-5*01,CYP,IG,0.76
TRBV6-6*02,TRBV5-5*01,TCR,TCR,0.76
IGHV3-33*01,IGHD3-10*03,IG,IG,0.76
