Allele_1,Allele_2,Family_1,Family_2,Stability_Score
IGHV3-64*02,IGHV3-49*03,IG,IG,0.01
IGKV3D-15*03,TRAV21*01,IG,TCR,0.01
IGHV1-69*01,IGKV1D-17*01,IG,IG,0.01
IGHV1-69*01,TRAV13-1*01,IG,TCR,0.01
IGHV1-69*01,TRAV13-1*02,IG,TCR,0.01
IGHV1-69*01,TRGV9*01,IG,TCR,0.01
IGHV1-69D*01,IGKV2D-24*01,IG,IG,0.01
IGKV2-4*02,TRAV8-7*01,IG,TCR,0.01
KIR3DL1*001,IGHV7-4-1*01,KIR,IG,0.01
KIR3DL1*001,IGLV9-49*01,KIR,IG,0.01
IGHV7-81*01,IGHV3-54*02,IG,IG,0.01
IGKJ5*01,IGLV7-43*01,IG,IG,0.01
IGKJ5*01,IGKV1-27*02,IG,IG,0.01
KIR2DL4*008,TRGJP*01,KIR,TCR,0.01
IGKV5-2*02,IGHV1-69*05,IG,IG,0.01
KIR2DL4*008,IGKJ2*01,KIR,IG,0.01
KIR2DL4*008,SLCO1B1*15,KIR,CYP,0.01
IGKV3D-15*03,TRAV9-2*03,IG,TCR,0.01
KIR2DS4*003,IGKV6-21*02,KIR,IG,0.01
IGHV8-51-1*04,IGKV2-24*02,IG,IG,0.01
KIR2DS4*003,IGKJ2*01,KIR,IG,0.01
IGKV1D-13*02,IGHV3-19*02,IG,IG,0.01
KIR3DP1*009,IGKV1-9*03,KIR,IG,0.01
KIR3DP1*009,IGKV1D-8*01,KIR,IG,0.01
IGKV2-4*01,IGHV3-32*01,IG,IG,0.01
IGHV3-64*02,IGHV3-49*04,IG,IG,0.01
IGKV3D-15*03,IGHV1-68*04,IG,IG,0.01
KIR3DS1*078,NAT2*7,KIR,CYP,0.01
IGHV3-33-2*01,TRBV20-1*01,IG,TCR,0.01
IGHV1-2*04,IGLV5-37*03,IG,IG,0.01
KIR3DL3*077,IGKV6D-21*02,KIR,IG,0.01
IGHV3-22*02,IGLV5-45*04,IG,IG,0.01
IGHV3-23*01,TRAV12-2*01,IG,TCR,0.01
IGHV3-25*03,IGHV3-64*02,IG,IG,0.01
IGKV1D-16*02,IGKV1-6*02,IG,IG,0.01
IGKV3D-15*02,IGHV3-53*04,IG,IG,0.01
KIR3DS1*078,TRAV6*03,KIR,TCR,0.01
IGHV3-29*01,IGHV8-51-1*03,IG,IG,0.01
IGLV10-54*04,IGHD6-13*01,IG,IG,0.01
KIR3DS1*078,TRBJ1-5*01,KIR,TCR,0.01
KIR3DS1*078,TRAV13-1*02,KIR,TCR,0.01
IGHV4-59*01,IGHV3-23*04,IG,IG,0.01
KIR3DS1*078,TRAV13-1*01,KIR,TCR,0.01
IGHV3-41*02,IGLV1-47*02,IG,IG,0.01
IGKV3D-15*02,IGHV1-45*03,IG,IG,0.01
IGHV1-45*02,IGHV3-49*03,IG,IG,0.01
IGHV1-45*02,TRAJ47*01,IG,TCR,0.01
IGHV1-46*01,IGHV3-30*02,IG,IG,0.01
KIR3DS1*078,IGKV3D-15*02,KIR,IG,0.01
KIR3DS1*078,IGLV1-47*01,KIR,IG,0.01
IGHV3-52*01,IGKJ1*01,IG,IG,0.01
IGKV3D-15*03,IGHV3-66*04,IG,IG,0.01
KIR3DS1*078,IGHV3-7*03,KIR,IG,0.01
KIR3DL1*002,IGHV2-5*11,KIR,IG,0.01
IGHV4-39*07,IGHJ2*01,IG,IG,0.01
KIR3DL3*009,TRBV9*01,KIR,TCR,0.01
IGKV1-37*01,TRBV10-3*02,IG,TCR,0.01
KIR3DP1*003,CYP4F2*1,KIR,CYP,0.01
IGLV11-55*01,IGHV8-51-1*04,IG,IG,0.01
IGLJ6*01,IGHV3-16*03,IG,IG,0.01
IGKV1D-42*02,TRBV20-1*02,IG,TCR,0.01
IGHV3-16*03,TRAV30*05,IG,TCR,0.01
IGHV3-16*03,TRAV30*01,IG,TCR,0.01
IGHV3-33*05,TRAV26-1*01,IG,TCR,0.01
IGHV8-51-1*02,IGHV3-30*04,IG,IG,0.01
IGHV1-69*06,IGHV2-70*20,IG,IG,0.01
IGHV1-69*06,TRAV8-6*01,IG,TCR,0.01
IGHV1-69*06,TRBV7-7*02,IG,TCR,0.01
IGLV11-55*01,IGHJ4*03,IG,IG,0.01
IGLV5-45*01,TRAV8-6*01,IG,TCR,0.01
KIR3DL2*001,IGKJ2*01,KIR,IG,0.01
IGHV8-51-1*05,TRGV9*01,IG,TCR,0.01
IGKV1-5*04,IGHV3-13*01,IG,IG,0.01
IGLV11-55*01,TRAJ16*02,IG,TCR,0.01
IGLV11-55*01,TRBV30*04,IG,TCR,0.01
IGHV3-32*01,TRAV26-1*01,IG,TCR,0.01
KIR2DL3*002,TRAV8-2*03,KIR,TCR,0.01
KIR2DL3*002,KIR2DL4*005,KIR,KIR,0.01
IGKV1D-16*02,TRGV4*01,IG,TCR,0.01
KIR3DL1*015,IGKV5-2*02,KIR,IG,0.01
KIR3DL1*015,CYP2A6*28,KIR,CYP,0.01
KIR3DL3*009,TRAV1-2*03,KIR,TCR,0.01
KIR3DP1*003,CYP2C8*3,KIR,CYP,0.01
IGLV2-14*03,IGHV4-4*10,IG,IG,0.01
IGLV3-19*01,TRBV10-3*02,IG,TCR,0.01
KIR2DL2*003,IGLV1-36*01,KIR,IG,0.01
KIR3DL1*002,IGLV3-32*01,KIR,IG,0.01
KIR3DL1*002,CYP4F2*10,KIR,CYP,0.01
KIR3DL1*002,SLCO1B1*15,KIR,CYP,0.01
IGKV3D-20*01,TRAV38-1*01,IG,TCR,0.01
IGKV1D-42*02,IGKV3-15*02,IG,IG,0.01
IGKV1D-17*01,IGHV5-10-1*01,IG,IG,0.01
IGKV1D-16*01,IGLV4-69*01,IG,IG,0.01
IGKV1D-16*01,IGKV1D-42*02,IG,IG,0.01
IGKV1D-16*01,IGHV7-81*02,IG,IG,0.01
IGKV1D-16*01,TRBV11-2*01,IG,TCR,0.01
IGKV3D-7*01,IGHV4-28*06,IG,IG,0.01
IGKV1D-42*02,IGHV7-34-1*04,IG,IG,0.01
IGKV1D-8*03,TRGJP*01,IG,TCR,0.01
IGLV7-43*01,TRAJ24*02,IG,TCR,0.01
IGKV1D-42*02,TRGJ1*01,IG,TCR,0.01
IGKV1D-42*02,TRGJ1*02,IG,TCR,0.01
IGLV1-40*01,TRBV6-6*03,IG,TCR,0.01
IGKV1D-42*02,TRAV8-2*03,IG,TCR,0.01
IGKV1D-8*03,IGHV2-70*15,IG,IG,0.01
IGLV5-45*01,IGHV1-69*05,IG,IG,0.01
IGLV2-23*04,IGHV8-51-1*02,IG,IG,0.01
IGLV5-45*01,IGHV3-30*02,IG,IG,0.01
IGLV3-21*02,IGLJ6*01,IG,IG,0.01
IGLV3-21*02,TRBV10-3*03,IG,TCR,0.01
IGHV1-2*04,IGHV3-35*02,IG,IG,0.01
KIR3DL3*077,TRBV17*02,KIR,TCR,0.01
IGHV3-69-1*02,TRBV7-7*02,IG,TCR,0.01
IGHV3-69-1*02,IGHV8-51-1*04,IG,IG,0.01
IGHV3-25*05,IGHV2-5*01,IG,IG,0.01
KIR2DL2*001,IGHV1-45*03,KIR,IG,0.01
KIR2DS4*001,IGLV1-40*01,KIR,IG,0.01
KIR2DS4*001,IGHV1-69*06,KIR,IG,0.01
KIR2DS4*001,IGHV1-69D*05,KIR,IG,0.01
SLCO1B1*1,CYP2C9*82,CYP,CYP,0.01
IGLV3-21*03,TRBV7-3*01,IG,TCR,0.01
IGLV3-21*03,TRAV6*07,IG,TCR,0.01
IGLV5-37*03,TRAV20*01,IG,TCR,0.01
IGHV3-25*05,IGHD6-25*01,IG,IG,0.01
CYP3A4*1,TRBV21-1*02,CYP,TCR,0.01
IGLV5-37*03,IGHV2-70*20,IG,IG,0.01
IGLV5-37*03,IGKV2-24*02,IG,IG,0.01
KIR3DL1*005,TRGV9*01,KIR,TCR,0.01
IGLV5-37*03,IGHV4-55*02,IG,IG,0.01
KIR3DL1*015,IGHV3-33-2*01,KIR,IG,0.01
KIR3DL1*015,TRAV8-3*01,KIR,TCR,0.01
IGHV4-31*13,TRGV3*02,IG,TCR,0.01
CYP2D6*4,IGLV3-10*01,CYP,IG,0.01
CYP2D6*4,IGHD4-4*01,CYP,IG,0.01
KIR3DP1*003,IGKV1D-17*01,KIR,IG,0.01
KIR3DP1*003,IGHV4-4*01,KIR,IG,0.01
KIR2DL2*003,IGHD2-2*03,KIR,IG,0.01
CYP2D6*4,IGHD5-5*01,CYP,IG,0.01
IGHV3-33*05,IGHV7-34-1*04,IG,IG,0.01
KIR2DP1*001,IGLV3-21*03,KIR,IG,0.01
IGHV3-13*04,TRBD1*01,IG,TCR,0.01
MICB*008,IGHD2-15*01,HLA,IG,0.01
MICB*052,IGHD2-15*01,HLA,IG,0.01
HLA-C*06,TRBV17*01,HLA,TCR,0.01
HLA-A*68,IGKV1D-16*01,HLA,IG,0.01
CYP2A6*54,TRBJ1-3*01,CYP,TCR,0.01
IGHV3-13*04,IGLV2-5*02,IG,IG,0.01
HLA-W*03,IGHV3-16*03,HLA,IG,0.01
HLA-W*03,IGLV5-45*04,HLA,IG,0.01
IGHV3-13*04,IGKJ2*04,IG,IG,0.01
IGHV3-13*04,IGHV3-13*01,IG,IG,0.01
NUDT15*1,IGKV1-5*04,CYP,IG,0.01
HLA-DPA1*03,TRAV13-1*01,HLA,TCR,0.01
HLA-DPA1*03,TRAV13-1*02,HLA,TCR,0.01
IGHV3-13*04,IGHV3-54*02,IG,IG,0.01
MICB*008,IGLV2-33*01,HLA,IG,0.01
HLA-B*07,HLA-C*12,HLA,HLA,0.01
NAT2*5,IGKV1D-43*01,CYP,IG,0.01
HLA-B*07,IGHV1-3*03,HLA,IG,0.01
HLA-B*07,IGKJ1*01,HLA,IG,0.01
HLA-B*07,IGKV1-5*03,HLA,IG,0.01
IGHV3-13*04,IGHV1-45*03,IG,IG,0.01
HLA-B*07,IGKV1D-12*01,HLA,IG,0.01
IGHV3-15*09,TRBV5-3*02,IG,TCR,0.01
CYP2C19*1,IGHD4-17*01,CYP,IG,0.01
CYP2C19*1,IGKV6D-21*02,CYP,IG,0.01
IGHJ6*03,TRBJ1-6*01,IG,TCR,0.01
KIR3DL2*137,IGHV3-29*01,KIR,IG,0.01
KIR3DL3*077,IGHV1-69*06,KIR,IG,0.01
IGHV3-33*05,TRAV12-2*02,IG,TCR,0.01
IGHV3-54*07,IGHV3-69-1*02,IG,IG,0.01
CYP2C8*2,IGHV3-53*04,CYP,IG,0.01
CYP2D6*141,IGHV3-19*01,CYP,IG,0.01
CYP2D6*141,IGHV1-69*01,CYP,IG,0.01
KIR2DL3*005,TRBJ1-5*01,KIR,TCR,0.01
KIR2DL3*005,IGHV1-45*02,KIR,IG,0.01
IGLV2-23*02,IGHD6-19*01,IG,IG,0.01
CYP2A6*24,IGHJ5*02,CYP,IG,0.01
CYP2A6*24,IGHV7-81*01,CYP,IG,0.01
IGKV1D-12*01,IGLV3-10*03,IG,IG,0.01
IGKV1D-12*01,IGHV2-5*11,IG,IG,0.01
IGHJ6*02,IGHV3-64D*09,IG,IG,0.01
IGHJ6*02,IGHV1-69*01,IG,IG,0.01
CYP2B6*15,IGKV3-20*01,CYP,IG,0.01
IGHJ6*02,IGKV1D-17*01,IG,IG,0.01
IGKV1-5*04,IGHV3-71*03,IG,IG,0.01
IGHJ6*02,TRAV8-6*02,IG,TCR,0.01
IGHV8-51-1*05,TRBV7-3*01,IG,TCR,0.01
IGHV8-51-1*05,IGHV3-71*03,IG,IG,0.01
KIR2DL4*005,CYP2C9*2,KIR,CYP,0.01
IGHV3-54*07,IGKV2D-29*02,IG,IG,0.01
IGHV7-4-1*01,TRAJ37*01,IG,TCR,0.01
KIR3DL2*005,TRAV21*01,KIR,TCR,0.01
IGHV7-4-1*01,TRAJ37*02,IG,TCR,0.01
KIR3DL2*005,IGHV1-3*03,KIR,IG,0.01
IGHV8-51-1*02,TRBV20-1*05,IG,TCR,0.01
IGHV3-49*04,TRBJ1-5*01,IG,TCR,0.01
IGHV3-33*05,TRGV2*02,IG,TCR,0.01
IGHV3-33*01,IGHV1-2*05,IG,IG,0.01
IGHV2-70*05,TRBV17*01,IG,TCR,0.01
KIR3DS1*055,IGLJ7*01,KIR,IG,0.01
IGHV2-70*05,TRAV27*03,IG,TCR,0.01
IGHV3-33*05,TRAV20*01,IG,TCR,0.01
KIR2DS4*004,IGLV2-34*02,KIR,IG,0.01
KIR2DS4*004,IGHV3-33*05,KIR,IG,0.01
KIR2DS4*004,IGHD2-15*01,KIR,IG,0.01
KIR2DS4*004,IGHD2-2*03,KIR,IG,0.01
KIR3DL2*008,SLCO1B1*45,KIR,CYP,0.01
CYP2C19*1,IGHV3-71*04,CYP,IG,0.01
KIR3DL3*096,TRDV2*02,KIR,TCR,0.01
NUDT15*1,IGLV3-19*01,CYP,IG,0.01
KIR2DL5A*025,IGLV2-23*02,KIR,IG,0.01
NAT2*6,IGHV3-25*03,CYP,IG,0.01
KIR2DS4*004,SLCO1B1*15,KIR,CYP,0.01
CYP2B6*5,IGHV2-26*04,CYP,IG,0.01
CYP2D6*2,IGKV3-7*04,CYP,IG,0.01
CYP2D6*2,TRBV24-1*02,CYP,TCR,0.01
IGHV3-48*03,IGHV2-5*01,IG,IG,0.01
IGHV3-48*03,TRBV10-3*03,IG,TCR,0.01
IGHV3-49*03,IGKV2-29*03,IG,IG,0.01
IGHV3-49*04,TRAV1-1*01,IG,TCR,0.01
KIR2DL5A*025,IGHD4-23*01,KIR,IG,0.01
KIR2DL5A*025,IGHV7-34-1*02,KIR,IG,0.01
IGLV1-47*02,IGHV1-69*04,IG,IG,0.01
TRAV8-3*01,TRAV35*02,TCR,TCR,0.01
MICA*004,HLA-DRB1*12,HLA,HLA,0.01
HLA-DQB1*02,CYP2C9*11,HLA,CYP,0.01
KIR2DS1*002,IGHV3-32*02,KIR,IG,0.01
KIR2DS1*002,CYP2C9*2,KIR,CYP,0.01
KIR2DS1*002,KIR3DP1*009,KIR,KIR,0.01
HLA-DQA1*02,CYP3A5*3,HLA,CYP,0.01
HLA-DQA1*02,IGHV3-71*01,HLA,IG,0.01
IGHV3-20*04,IGHV2-70D*14,IG,IG,0.01
MICA*002,HLA-A*02,HLA,HLA,0.01
MICA*002,HLA-DQB1*04,HLA,HLA,0.01
MICA*002,KIR3DL2*126,HLA,KIR,0.01
KIR2DL1*003,CYP3A5*3,KIR,CYP,0.01
MICA*002,SLCO1B1*37,HLA,CYP,0.01
MICA*002,CYP2C9*11,HLA,CYP,0.01
MICA*002,CYP3A5*6,HLA,CYP,0.01
MICA*002,IGHV7-34-1*01,HLA,IG,0.01
MICA*002,IGHV3-43*01,HLA,IG,0.01
MICA*002,IGHV1-45*02,HLA,IG,0.01
MICA*002,IGLJ2*01,HLA,IG,0.01
MICA*002,IGHV4-31*03,HLA,IG,0.01
MICA*002,TRBV6-4*01,HLA,TCR,0.01
MICA*002,TRBV17*02,HLA,TCR,0.01
MICA*002,TRBV30*01,HLA,TCR,0.01
MICA*002,TRBV6-4*02,HLA,TCR,0.01
MICA*002,TRBV9*02,HLA,TCR,0.01
MICA*002,TRBV17*01,HLA,TCR,0.01
HLA-DQB1*02,KIR3DL1*015,HLA,KIR,0.01
HLA-DPA1*02,IGHV3-43*02,HLA,IG,0.01
IGHV3-25*05,IGHV4-31*13,IG,IG,0.01
HLA-DPA1*02,IGHV2-70*15,HLA,IG,0.01
HLA-T*01,IGKJ1*01,HLA,IG,0.01
HLA-DRB3*02,KIR2DL3*005,HLA,KIR,0.01
HLA-DRB3*02,IGLV3-12*01,HLA,IG,0.01
KIR3DP1*001,IGHD3-22*01,KIR,IG,0.01
HLA-W*01,KIR3DL1*002,HLA,KIR,0.01
HLA-W*01,KIR3DL3*077,HLA,KIR,0.01
HLA-DRB5*01,IGHJ6*02,HLA,IG,0.01
HLA-DRB5*01,IGLV1-47*01,HLA,IG,0.01
HLA-DRB5*01,IGLJ3*02,HLA,IG,0.01
KIR2DS1*002,TRBJ1-5*01,KIR,TCR,0.01
HLA-DRB5*01,IGKV2-30*02,HLA,IG,0.01
KIR2DS1*002,TRBJ1-3*01,KIR,TCR,0.01
HLA-T*01,TRAV30*05,HLA,TCR,0.01
HLA-DPA1*02,IGHV3-20*04,HLA,IG,0.01
HLA-A*30,CYP3A5*7,HLA,CYP,0.01
HLA-A*30,IGKV3-15*01,HLA,IG,0.01
KIR2DS1*002,IGHV5-51*03,KIR,IG,0.01
HLA-A*30,TRAV8-4*01,HLA,TCR,0.01
HLA-A*30,TRDV2*03,HLA,TCR,0.01
HLA-A*30,TRDV3*01,HLA,TCR,0.01
KIR2DS1*002,IGKV2-28*01,KIR,IG,0.01
HLA-A*30,TRBV17*02,HLA,TCR,0.01
HLA-DPA1*02,KIR2DS4*004,HLA,KIR,0.01
HLA-DPA1*02,NAT2*7,HLA,CYP,0.01
HLA-DPA1*02,IGHV3-43*01,HLA,IG,0.01
HLA-DQB1*02,CYP2D6*1,HLA,CYP,0.01
HLA-DQB1*02,IGHV4-55*01,HLA,IG,0.01
IGLV1-47*02,IGHV3-19*02,IG,IG,0.01
HLA-DQB1*02,IGLV3-32*01,HLA,IG,0.01
KIR2DL4*001,CYP2A6*48,KIR,CYP,0.01
KIR2DL4*001,NAT2*6,KIR,CYP,0.01
HLA-DPB1*17,IGLJ6*01,HLA,IG,0.01
HLA-DPB1*17,IGKV2-4*02,HLA,IG,0.01
HLA-DPB1*17,TRBV11-2*03,HLA,TCR,0.01
HLA-DPB2*01,IGHV3-22*02,HLA,IG,0.01
KIR2DL4*001,KIR3DS1*055,KIR,KIR,0.01
HLA-DPB2*01,TRAV27*01,HLA,TCR,0.01
HLA-A*11,HLA-DPB1*04,HLA,HLA,0.01
HLA-A*11,IGHV5-51*01,HLA,IG,0.01
IGHV4-4*12,IGLJ3*01,IG,IG,0.01
HLA-A*11,IGHV1-69-2*01,HLA,IG,0.01
HLA-A*11,IGHD1-14*01,HLA,IG,0.01
HLA-DPA1*01,HLA-DQB1*04,HLA,HLA,0.01
KIR2DL4*049,KIR3DS1*055,KIR,KIR,0.01
HLA-DPA1*01,NAT2*7,HLA,CYP,0.01
HLA-DPA1*01,IGHV3-53*01,HLA,IG,0.01
HLA-DPA1*01,TRAV6*03,HLA,TCR,0.01
KIR2DP1*031,IGHV3-64*07,KIR,IG,0.01
IGLV3-22*03,TRAJ37*02,IG,TCR,0.01
KIR2DP1*031,KIR3DL3*096,KIR,KIR,0.01
HLA-A*29,IGHD4-23*01,HLA,IG,0.01
HLA-DPA2*02,IGHV3-64D*06,HLA,IG,0.01
HLA-DPA2*02,TRGV3*01,HLA,TCR,0.01
HLA-DPA2*02,TRGJ1*02,HLA,TCR,0.01
KIR2DL4*001,IGLV3-16*01,KIR,IG,0.01
IGHV4-4*12,TRBD1*01,IG,TCR,0.01
IGHV4-4*12,TRBV5-3*02,IG,TCR,0.01
HLA-S*01,TRAV35*01,HLA,TCR,0.01
HLA-DQB1*02,IGLV5-45*04,HLA,IG,0.01
HLA-DQB1*02,TRAV9-2*03,HLA,TCR,0.01
HLA-DQB1*05,KIR3DP1*009,HLA,KIR,0.01
IGLV3-22*03,IGKV1-5*01,IG,IG,0.01
HLA-DQB1*05,IGHV1-45*02,HLA,IG,0.01
HLA-DQB1*05,TRBV6-4*02,HLA,TCR,0.01
HLA-B*53,IGKV2-29*02,HLA,IG,0.01
KIR2DS4*001,IGKV3-7*05,KIR,IG,0.01
KIR2DS4*001,IGLV2-5*02,KIR,IG,0.01
IGHV1-18*01,IGHD3-3*02,IG,IG,0.01
HLA-S*01,TRAV27*03,HLA,TCR,0.01
HLA-H*01,CYP2D6*2,HLA,CYP,0.01
KIR2DL4*001,IGHV3-64*07,KIR,IG,0.01
HLA-H*01,IGHV2-5*02,HLA,IG,0.01
IGHV1-18*01,IGLV5-37*03,IG,IG,0.01
IGLV3-22*03,IGHV5-10-1*01,IG,IG,0.01
HLA-H*01,IGHV1-69-2*01,HLA,IG,0.01
HLA-H*01,TRAV35*01,HLA,TCR,0.01
HLA-DRB1*13,HLA-B*44,HLA,HLA,0.01
HLA-DRB3*03,IGLV1-47*01,HLA,IG,0.01
HLA-DRB3*03,TRAV1-2*03,HLA,TCR,0.01
HLA-C*04,TRBV10-2*01,HLA,TCR,0.01
HLA-C*04,TRBJ1-6*01,HLA,TCR,0.01
HLA-C*04,TRBJ1-6*02,HLA,TCR,0.01
HLA-DRB3*02,KIR2DL2*003,HLA,KIR,0.01
HLA-DRB3*02,HLA-H*01,HLA,HLA,0.01
KIR2DL3*001,IGHV3-15*09,KIR,IG,0.01
HLA-DRB1*09,TRAV6*01,HLA,TCR,0.01
IGHV1-69-2*01,IGKV2-30*02,IG,IG,0.01
KIR2DL4*011,IGKV3-7*05,KIR,IG,0.01
IGHV1-69-2*01,IGHV1-46*03,IG,IG,0.01
HLA-DQA1*01,KIR2DL4*011,HLA,KIR,0.01
IGHV1-69-2*01,IGHD6-13*01,IG,IG,0.01
IGLV7-46*04,IGKV1-8*02,IG,IG,0.01
HLA-DQA1*01,TRBV6-4*02,HLA,TCR,0.01
HLA-DQA1*01,TRBV9*02,HLA,TCR,0.01
HLA-DQA1*05,HLA-DRB1*09,HLA,HLA,0.01
HLA-DQA1*05,HLA-H*01,HLA,HLA,0.01
HLA-DQA1*05,IGHV3-53*01,HLA,IG,0.01
HLA-DQA1*05,IGLV2-14*04,HLA,IG,0.01
HLA-DPA2*01,IGKJ5*01,HLA,IG,0.01
HLA-DPA2*01,IGKJ4*01,HLA,IG,0.01
HLA-DPA2*01,IGKV3D-7*01,HLA,IG,0.01
HLA-DPA2*01,IGHV3-64D*06,HLA,IG,0.01
KIR3DS1*013,IGLV7-46*01,KIR,IG,0.01
KIR3DS1*013,IGHD4-11*01,KIR,IG,0.01
MICA*001,IGHV3-43*02,HLA,IG,0.01
HLA-DQB1*06,IGHV3-49*04,HLA,IG,0.01
MICB*002,HLA-DRB1*11,HLA,HLA,0.01
MICB*002,IGHJ6*02,HLA,IG,0.01
MICB*002,IGKV1D-12*01,HLA,IG,0.01
KIR2DS2*001,IGLV1-36*01,KIR,IG,0.01
MICB*005,IGHV3-41*02,HLA,IG,0.01
HLA-U*01,TRAV35*02,HLA,TCR,0.01
KIR2DL4*011,IGKV1-8*02,KIR,IG,0.01
HLA-U*01,IGLJ7*01,HLA,IG,0.01
HLA-T*03,HLA-DRB3*02,HLA,HLA,0.01
KIR3DL1*005,IGHV3-11*01,KIR,IG,0.01
TRAV8-6*02,TRAV26-1*01,TCR,TCR,0.01
TRAV27*01,TRBV24-1*02,TCR,TCR,0.01
IGHV1-69-2*01,TRGV9*01,IG,TCR,0.01
IGHV1-69-2*01,TRAJ32*02,IG,TCR,0.01
KIR3DL1*005,KIR2DL4*008,KIR,KIR,0.01
TRGV4*02,TRBV24-1*02,TCR,TCR,0.01
TRGV4*02,TRGV2*03,TCR,TCR,0.01
TRGV4*02,TRBV17*01,TCR,TCR,0.01
IGHV1-69-2*01,IGHV3-53*06,IG,IG,0.01
IGLV1-47*02,TRBV7-3*01,IG,TCR,0.01
IGLV1-47*02,TRBV6-4*02,IG,TCR,0.01
HLA-U*01,IGKJ1*01,HLA,IG,0.01
HLA-A*24,CYP4F2*10,HLA,CYP,0.01
HLA-A*24,IGHV3-15*01,HLA,IG,0.01
HLA-A*24,IGHV4-61*01,HLA,IG,0.01
HLA-A*24,IGHD4-23*01,HLA,IG,0.01
HLA-A*24,TRAV26-1*02,HLA,TCR,0.01
IGLV7-46*04,IGHV3-15*09,IG,IG,0.01
HLA-A*24,TRBV24-1*02,HLA,TCR,0.01
HLA-A*24,TRAV26-1*01,HLA,TCR,0.01
HLA-A*24,TRGJ1*02,HLA,TCR,0.01
HLA-U*01,HLA-DOA*01,HLA,HLA,0.01
HLA-U*01,CYP2D6*2,HLA,CYP,0.01
IGLV7-46*04,IGLV5-37*02,IG,IG,0.01
MICB*005,IGHV3-19*02,HLA,IG,0.01
KIR2DL5A*001,TRBJ1-5*01,KIR,TCR,0.01
HLA-DRB1*09,MICB*052,HLA,HLA,0.01
HLA-DOB*01,HLA-B*18,HLA,HLA,0.01
HLA-DOB*01,KIR3DL3*027,HLA,KIR,0.01
HLA-DOB*01,IGLV4-60*03,HLA,IG,0.01
HLA-DOB*01,IGLV1-40*01,HLA,IG,0.01
HLA-DRB1*15,HLA-H*01,HLA,HLA,0.01
IGHV3-33*05,TRBV20-1*02,IG,TCR,0.01
HLA-DRB1*15,IGLV1-47*01,HLA,IG,0.01
KIR2DS5*002,IGLV7-46*01,KIR,IG,0.01
KIR2DS5*002,IGKV1D-12*02,KIR,IG,0.01
IGHV3-33*05,TRAV1-2*01,IG,TCR,0.01
KIR2DS5*002,IGHV3-66*03,KIR,IG,0.01
KIR2DS5*002,IGHV3-38*02,KIR,IG,0.01
HLA-K*01,TRBV7-9*03,HLA,TCR,0.01
IGHV4-31*13,TRAV1-2*03,IG,TCR,0.01
IGHV4-31*13,TRAV1-2*01,IG,TCR,0.01
HLA-DRB1*09,KIR2DL3*005,HLA,KIR,0.01
HLA-DRB1*09,CYP2C8*1,HLA,CYP,0.01
HLA-DRB1*09,IGHV6-1*01,HLA,IG,0.01
IGHV4-31*13,IGLV5-37*03,IG,IG,0.01
HLA-DRB1*09,IGKV1-13*01,HLA,IG,0.01
HLA-DRB1*09,IGHD4-17*01,HLA,IG,0.01
KIR2DS5*002,CYP2C19*2,KIR,CYP,0.01
IGHV3-30-2*03,IGHV3-13*06,IG,IG,0.01
HLA-DRB1*09,IGLV4-60*02,HLA,IG,0.01
HLA-H*02,NUDT15*1,HLA,CYP,0.01
HLA-K*01,TRBV10-1*01,HLA,TCR,0.01
IGLV7-46*04,TRAJ8*01,IG,TCR,0.01
HLA-DOA*01,IGHD5-18*01,HLA,IG,0.01
IGLV7-46*02,IGKV2D-29*02,IG,IG,0.01
IGLV7-46*02,IGHV3-23*03,IG,IG,0.01
IGLV7-46*02,TRAJ37*02,IG,TCR,0.01
HLA-B*58,IGKV5-2*02,HLA,IG,0.01
KIR2DS5*002,IGHD5-24*01,KIR,IG,0.01
HLA-DOA*01,CYP2D6*4,HLA,CYP,0.01
HLA-DOA*01,CYP2A6*46,HLA,CYP,0.01
HLA-DOA*01,IGKV6-21*01,HLA,IG,0.01
KIR2DS5*002,IGKV1-8*02,KIR,IG,0.01
KIR2DS5*002,IGHV3-38*03,KIR,IG,0.01
HLA-DOA*01,IGHD1-20*01,HLA,IG,0.01
HLA-DOA*01,IGHD3-3*02,HLA,IG,0.01
HLA-K*01,TRBV7-2*02,HLA,TCR,0.01
IGHV3-33*05,TRAV1-2*03,IG,TCR,0.01
HLA-DOA*01,TRBV21-1*01,HLA,TCR,0.01
HLA-K*01,MICA*002,HLA,HLA,0.01
HLA-K*01,MICA*008,HLA,HLA,0.01
HLA-K*01,HLA-A*23,HLA,HLA,0.01
KIR2DS5*002,IGLV2-23*02,KIR,IG,0.01
HLA-K*01,IGHV3-64*02,HLA,IG,0.01
HLA-K*01,IGHV4-4*12,HLA,IG,0.01
KIR2DS5*002,IGLV10-54*04,KIR,IG,0.01
HLA-K*01,IGHV2-70D*04,HLA,IG,0.01
HLA-K*01,IGHD6-13*01,HLA,IG,0.01
HLA-DQB1*03,IGHD2-15*01,HLA,IG,0.01
MICB*002,KIR3DL3*008,HLA,KIR,0.01
CYP2A6*1,IGHV3-20*01,CYP,IG,0.01
KIR2DL4*049,TRAV12-2*01,KIR,TCR,0.01
KIR3DS1*013,IGLV5-45*04,KIR,IG,0.01
KIR3DS1*013,IGLV2-18*02,KIR,IG,0.01
HLA-DPB1*03,IGKV4-1*01,HLA,IG,0.01
