vdj,gene,ALD,type
HLA-A,IGHV5-51,0.0852955948657897,"(HLA,IG)"
HLA-A,IGHV7-34-1,0.0726064616416675,"(HLA,IG)"
HLA-A,IGHV7-81,0.0696438813037124,"(HLA,IG)"
HLA-A,IGHV8-51-1,0.0875727159266801,"(HLA,IG)"
HLA-A,IGKV1-13,0.0346799889715781,"(HLA,IG)"
HLA-A,IGKV1D-16,0.0390659363383022,"(HLA,IG)"
HLA-A,IGKV1D-42,0.0564037901112992,"(HLA,IG)"
HLA-A,IGKV1D-8,0.0890563147350869,"(HLA,IG)"
HLA-A,IGKV2-29,0.0771455634719715,"(HLA,IG)"
HLA-A,IGKV2-30,0.0509008678954063,"(HLA,IG)"
HLA-A,IGKV2D-26,0.027564462474875,"(HLA,IG)"
HLA-A,IGKV2D-29,0.055688360353958,"(HLA,IG)"
HLA-A,IGKV3D-11,0.0588212798212254,"(HLA,IG)"
HLA-A,IGKV3D-15,0.0656946599916647,"(HLA,IG)"
HLA-A,IGLJ3,0.041543923225408,"(HLA,IG)"
HLA-A,IGLJ5,0.0298250511970268,"(HLA,IG)"
HLA-A,IGLJ7,0.0332612068179506,"(HLA,IG)"
HLA-A,IGLV1-41,0.0446391285390654,"(HLA,IG)"
HLA-A,IGLV1-44,0.0534725179535701,"(HLA,IG)"
HLA-A,IGLV1-47,0.0537213966440845,"(HLA,IG)"
HLA-A,IGLV1-51,0.0503800045177099,"(HLA,IG)"
HLA-A,IGLV10-54,0.0909038317410777,"(HLA,IG)"
HLA-A,IGLV11-55,0.047496245613993,"(HLA,IG)"
HLA-A,IGLV2-14,0.0757462608892965,"(HLA,IG)"
HLA-A,IGLV2-18,0.041423564962527,"(HLA,IG)"
HLA-A,IGLV2-23,0.0631038354005192,"(HLA,IG)"
HLA-A,IGLV2-34,0.043100052275609,"(HLA,IG)"
HLA-A,IGLV2-8,0.0445558164637078,"(HLA,IG)"
HLA-A,IGLV3-12,0.049173493173562,"(HLA,IG)"
HLA-A,IGLV3-13,0.0431592794391129,"(HLA,IG)"
HLA-A,IGLV3-19,0.0389095102142285,"(HLA,IG)"
HLA-A,IGLV3-21,0.0739961284239464,"(HLA,IG)"
HLA-A,IGLV3-25,0.0459920728128458,"(HLA,IG)"
HLA-A,IGLV4-60,0.04521465421228,"(HLA,IG)"
HLA-A,IGLV5-37,0.0698455585137927,"(HLA,IG)"
HLA-A,IGLV5-45,0.0908298703767126,"(HLA,IG)"
HLA-A,IGLV5-48,0.0334120837169025,"(HLA,IG)"
HLA-A,IGLV6-57,0.0910523560113173,"(HLA,IG)"
HLA-A,IGLV7-46,0.0632048177545487,"(HLA,IG)"
HLA-A,IGLV8-61,0.0366814271371309,"(HLA,IG)"
HLA-A,MICA,0.210416138610992,HLA
HLA-A,MICB,0.158227894699655,HLA
HLA-A,TAP1,0.0983937378647165,HLA
HLA-A,TAP2,0.127671948684815,HLA
HLA-A,TRAJ13,0.0474502109196299,"(HLA,TCR)"
HLA-A,TRAJ16,0.04663408732571,"(HLA,TCR)"
HLA-A,TRAJ24,0.0621301914639317,"(HLA,TCR)"
HLA-A,TRAJ32,0.046206829515504,"(HLA,TCR)"
HLA-A,TRAJ37,0.0532626467238171,"(HLA,TCR)"
HLA-A,TRAJ47,0.0523393680274331,"(HLA,TCR)"
HLA-A,TRAJ8,0.0273282837722666,"(HLA,TCR)"
HLA-A,TRAV1-1,0.0397026351951382,"(HLA,TCR)"
HLA-A,TRAV1-2,0.0346048585777142,"(HLA,TCR)"
HLA-A,TRAV10,0.0339927927108687,"(HLA,TCR)"
HLA-A,TRAV12-2,0.0671781110161707,"(HLA,TCR)"
HLA-A,TRAV13-1,0.0387430414496466,"(HLA,TCR)"
HLA-A,TRAV20,0.0401603126045867,"(HLA,TCR)"
HLA-A,TRAV21,0.050199348422171,"(HLA,TCR)"
HLA-A,TRAV26-1,0.0363800232358517,"(HLA,TCR)"
HLA-A,TRAV26-2,0.0262372767016126,"(HLA,TCR)"
HLA-A,TRAV27,0.0522059053150548,"(HLA,TCR)"
HLA-A,TRAV30,0.0644184083013112,"(HLA,TCR)"
HLA-A,TRAV35,0.0489523642343941,"(HLA,TCR)"
HLA-A,TRAV38-1,0.0455943695948825,"(HLA,TCR)"
HLA-A,TRAV6,0.0746792930795664,"(HLA,TCR)"
HLA-A,TRAV8-2,0.0438538388967309,"(HLA,TCR)"
HLA-A,TRAV8-3,0.0383271556957349,"(HLA,TCR)"
HLA-A,TRAV8-4,0.0417956729975266,"(HLA,TCR)"
HLA-A,TRAV8-6,0.0465658736819677,"(HLA,TCR)"
HLA-A,TRAV8-7,0.0471183118116096,"(HLA,TCR)"
HLA-A,TRAV9-2,0.0663148757066789,"(HLA,TCR)"
HLA-A,TRBJ1-6,0.0702787739394929,"(HLA,TCR)"
HLA-A,TRBJ2-7,0.044904163916677,"(HLA,TCR)"
HLA-A,TRBV10-1,0.0476499653180978,"(HLA,TCR)"
HLA-A,TRBV10-2,0.0413102752287934,"(HLA,TCR)"
HLA-A,TRBV10-3,0.0748902279043912,"(HLA,TCR)"
HLA-A,TRBV11-2,0.0424849630151392,"(HLA,TCR)"
HLA-A,TRBV11-3,0.037956502213094,"(HLA,TCR)"
HLA-A,TRBV14,0.0350707739101195,"(HLA,TCR)"
HLA-A,TRBV15,0.0595875918932588,"(HLA,TCR)"
HLA-A,TRBV16,0.0783930876420728,"(HLA,TCR)"
HLA-A,TRBV17,0.0449116736794597,"(HLA,TCR)"
HLA-A,TRBV19,0.0466871754952392,"(HLA,TCR)"
HLA-A,TRBV20-1,0.073272274173958,"(HLA,TCR)"
HLA-A,TRBV21-1,0.0426328150030684,"(HLA,TCR)"
HLA-A,TRBV24-1,0.0406263526261488,"(HLA,TCR)"
HLA-A,TRBV2,0.0342616649740912,"(HLA,TCR)"
HLA-A,TRBV30,0.101409718835587,"(HLA,TCR)"
HLA-A,TRBV5-3,0.0430620819370791,"(HLA,TCR)"
HLA-A,TRBV5-5,0.0355009277153281,"(HLA,TCR)"
HLA-A,TRBV6-4,0.0465810767527663,"(HLA,TCR)"
HLA-A,TRBV6-6,0.0551159379847163,"(HLA,TCR)"
HLA-A,TRBV7-2,0.0389258427259556,"(HLA,TCR)"
HLA-A,TRBV7-3,0.0714368026777279,"(HLA,TCR)"
HLA-A,TRBV7-6,0.0267589444681073,"(HLA,TCR)"
HLA-A,TRBV7-9,0.0356661224424022,"(HLA,TCR)"
HLA-A,TRBV9,0.0436064044028114,"(HLA,TCR)"
HLA-A,TRDV2,0.0654431187576559,"(HLA,TCR)"
HLA-A,TRDV3,0.0315096102894969,"(HLA,TCR)"
HLA-A,TRGJ1,0.0385542345672525,"(HLA,TCR)"
HLA-A,TRGV10,0.0250904082829061,"(HLA,TCR)"
HLA-A,TRGV2,0.0689726138534556,"(HLA,TCR)"
HLA-A,TRGV3,0.0437745298655911,"(HLA,TCR)"
HLA-A,TRGV9,0.0308164606402187,"(HLA,TCR)"
HLA-B,CYP2D6,0.254892243537746,"(CYP,HLA)"
HLA-B,HLA-C,0.637962903202508,HLA
HLA-B,HLA-DMB,0.14070845718488,HLA
HLA-B,HLA-DOA,0.229088062118781,HLA
HLA-B,HLA-DOB,0.139771991519862,HLA
HLA-B,HLA-DPB1,0.366562944361567,HLA
HLA-B,HLA-DPB2,0.109390679800077,HLA
HLA-B,HLA-DQA2,0.150238453773519,HLA
HLA-B,HLA-DRA,0.278592141759576,HLA
HLA-B,HLA-DRB1,0.362940877168478,HLA
HLA-B,HLA-DRB3,0.169565519848166,HLA
HLA-B,HLA-DRB4,0.163176288566669,HLA
HLA-B,HLA-DRB5,0.105533025671838,HLA
HLA-B,HLA-F,0.241394477650679,HLA
HLA-B,HLA-H,0.24497658884847,HLA
HLA-B,HLA-K,0.141522067652356,HLA
HLA-B,HLA-L,0.12288330244414,HLA
HLA-B,HLA-W,0.163273904917431,HLA
HLA-B,IGHV1-45,0.0589807620202287,"(HLA,IG)"
HLA-B,IGHV1-46,0.0540913293659546,"(HLA,IG)"
HLA-B,IGHV1-58,0.0436753207692215,"(HLA,IG)"
HLA-B,IGHV1-68,0.0547110246392293,"(HLA,IG)"
HLA-B,IGHV2-70,0.122743559646472,"(HLA,IG)"
HLA-B,IGHV3-23,0.0726057822583022,"(HLA,IG)"
HLA-B,IGHV3-30-2,0.0509893504496099,"(HLA,IG)"
HLA-B,IGHV3-30,0.108306770212516,"(HLA,IG)"
HLA-B,IGHV3-35,0.0403640759655407,"(HLA,IG)"
HLA-B,IGHV3-47,0.0429707708845265,"(HLA,IG)"
HLA-B,IGHV3-48,0.0754834533302888,"(HLA,IG)"
HLA-B,IGHV3-49,0.0600113686375233,"(HLA,IG)"
HLA-B,IGHV3-52,0.0429921049353451,"(HLA,IG)"
HLA-B,IGHV3-53,0.0858063609266449,"(HLA,IG)"
HLA-B,IGHV3-62,0.0690643149054045,"(HLA,IG)"
HLA-B,IGHV3-63,0.0384514219125225,"(HLA,IG)"
HLA-B,IGHV3-64,0.076561302229062,"(HLA,IG)"
HLA-B,IGHV3-66,0.070310290396302,"(HLA,IG)"
HLA-B,IGHV3-71,0.0785931987427696,"(HLA,IG)"
HLA-B,IGHV3-73,0.0415799393976693,"(HLA,IG)"
HLA-B,IGHV3-74,0.0392047004542595,"(HLA,IG)"
HLA-B,IGHV4-34,0.0598019430678254,"(HLA,IG)"
HLA-B,IGHV4-55,0.0470873578260211,"(HLA,IG)"
HLA-B,IGHV4-59,0.0710786020382381,"(HLA,IG)"
HLA-B,IGHV5-51,0.0781218687552691,"(HLA,IG)"
HLA-B,IGHV7-34-1,0.0756228361328029,"(HLA,IG)"
HLA-B,IGHV7-81,0.0526472378475704,"(HLA,IG)"
HLA-B,IGHV8-51-1,0.082999032507909,"(HLA,IG)"
HLA-B,IGKV1-13,0.0513249890489342,"(HLA,IG)"
HLA-B,IGKV1-27,0.0697981169572741,"(HLA,IG)"
HLA-B,IGKV1D-16,0.0316456075644205,"(HLA,IG)"
HLA-B,IGKV1D-42,0.0499606893719171,"(HLA,IG)"
HLA-B,IGKV1D-8,0.0952581878826625,"(HLA,IG)"
HLA-B,IGKV2-29,0.0741622893995576,"(HLA,IG)"
HLA-B,IGKV2-30,0.0535807559996633,"(HLA,IG)"
HLA-B,IGKV2D-26,0.0268785614091003,"(HLA,IG)"
HLA-B,IGKV2D-29,0.0464130788954893,"(HLA,IG)"
HLA-B,IGKV3D-11,0.0535749625034406,"(HLA,IG)"
HLA-B,IGKV3D-15,0.067516056862107,"(HLA,IG)"
HLA-B,IGLJ3,0.0351772300159789,"(HLA,IG)"
HLA-B,IGLJ5,0.0321899732585497,"(HLA,IG)"
HLA-B,IGLJ7,0.0336129354546847,"(HLA,IG)"
HLA-B,IGLV1-41,0.0364352431973397,"(HLA,IG)"
HLA-B,IGLV1-44,0.0500717318082647,"(HLA,IG)"
HLA-B,IGLV1-47,0.0528827104969944,"(HLA,IG)"
HLA-B,IGLV1-51,0.044272065514758,"(HLA,IG)"
HLA-B,IGLV10-54,0.0838279412438626,"(HLA,IG)"
HLA-B,IGLV11-55,0.0538344190111779,"(HLA,IG)"
HLA-B,IGLV2-14,0.0624752993464417,"(HLA,IG)"
HLA-B,IGLV2-18,0.042806246726186,"(HLA,IG)"
HLA-B,IGLV2-23,0.0551412543667763,"(HLA,IG)"
HLA-B,IGLV2-34,0.0331357264067245,"(HLA,IG)"
HLA-B,IGLV2-5,0.0557038731473373,"(HLA,IG)"
HLA-B,IGLV2-8,0.043186403755761,"(HLA,IG)"
HLA-B,IGLV3-10,0.0430639964137132,"(HLA,IG)"
HLA-B,IGLV3-12,0.0418054412667133,"(HLA,IG)"
HLA-B,IGLV3-13,0.0415034449962003,"(HLA,IG)"
HLA-B,IGLV3-19,0.0347101912782899,"(HLA,IG)"
HLA-B,IGLV3-21,0.071240579437493,"(HLA,IG)"
HLA-B,IGLV3-25,0.039006046589788,"(HLA,IG)"
HLA-B,IGLV4-60,0.0352680233776955,"(HLA,IG)"
HLA-B,IGLV5-37,0.0724671102556324,"(HLA,IG)"
HLA-B,IGLV5-45,0.0837400904019613,"(HLA,IG)"
HLA-B,IGLV5-48,0.0355295851504428,"(HLA,IG)"
HLA-B,IGLV6-57,0.0856546290596994,"(HLA,IG)"
HLA-B,IGLV7-46,0.0619980717722599,"(HLA,IG)"
HLA-B,IGLV8-61,0.0383471110013152,"(HLA,IG)"
HLA-B,TRAJ13,0.0399607353358181,"(HLA,TCR)"
HLA-B,TRAJ16,0.0435815443043033,"(HLA,TCR)"
HLA-B,TRAJ24,0.0640239211503378,"(HLA,TCR)"
HLA-B,TRAJ32,0.0475219968116629,"(HLA,TCR)"
HLA-B,TRAJ37,0.0432047602094196,"(HLA,TCR)"
HLA-B,TRAJ47,0.0530449233348592,"(HLA,TCR)"
HLA-B,TRAJ8,0.033131973693968,"(HLA,TCR)"
HLA-B,TRAV1-1,0.0397653322386805,"(HLA,TCR)"
HLA-B,TRAV1-2,0.0299121149139147,"(HLA,TCR)"
HLA-B,TRAV10,0.0344463551887727,"(HLA,TCR)"
HLA-B,TRAV12-2,0.0626363095915201,"(HLA,TCR)"
HLA-B,TRAV13-1,0.0416818777710888,"(HLA,TCR)"
HLA-B,TRAV20,0.029290443085125,"(HLA,TCR)"
HLA-B,TRAV21,0.0420582413075105,"(HLA,TCR)"
HLA-B,TRAV26-1,0.0358475849331538,"(HLA,TCR)"
HLA-B,TRAV26-2,0.0251002312864379,"(HLA,TCR)"
HLA-B,TRAV27,0.0442234582091824,"(HLA,TCR)"
HLA-B,TRAV30,0.0569581832548589,"(HLA,TCR)"
HLA-B,TRAV35,0.0458044804543159,"(HLA,TCR)"
HLA-B,TRAV38-1,0.0400549014989523,"(HLA,TCR)"
HLA-B,TRAV6,0.0707571421441095,"(HLA,TCR)"
HLA-B,TRAV8-2,0.0456508891339156,"(HLA,TCR)"
HLA-B,TRAV8-3,0.0332381482247078,"(HLA,TCR)"
HLA-B,TRAV8-4,0.0506285967956165,"(HLA,TCR)"
HLA-B,TRAV8-6,0.0461583848214969,"(HLA,TCR)"
HLA-B,TRAV8-7,0.0365155722979386,"(HLA,TCR)"
HLA-B,TRAV9-2,0.0631366525402226,"(HLA,TCR)"
HLA-B,TRBJ1-6,0.0605949047566762,"(HLA,TCR)"
HLA-B,TRBJ2-7,0.0372587554669163,"(HLA,TCR)"
HLA-B,TRBV10-1,0.047920451080221,"(HLA,TCR)"
HLA-B,TRBV10-2,0.0416569061128029,"(HLA,TCR)"
HLA-B,TRBV10-3,0.0819251031123598,"(HLA,TCR)"
HLA-B,TRBV11-2,0.0331058609203147,"(HLA,TCR)"
HLA-B,TRBV11-3,0.0374571720221145,"(HLA,TCR)"
HLA-B,TRBV14,0.036556689711062,"(HLA,TCR)"
HLA-B,TRBV15,0.0587008710684527,"(HLA,TCR)"
HLA-B,TRBV16,0.0720879674940331,"(HLA,TCR)"
HLA-B,TRBV17,0.0439097111452644,"(HLA,TCR)"
HLA-B,TRBV19,0.0436107414498034,"(HLA,TCR)"
HLA-B,TRBV20-1,0.0697226182864736,"(HLA,TCR)"
HLA-B,TRBV21-1,0.0376058348497335,"(HLA,TCR)"
HLA-B,TRBV24-1,0.0429260504628822,"(HLA,TCR)"
HLA-B,TRBV2,0.0318142768751366,"(HLA,TCR)"
HLA-B,TRBV30,0.0918287539957656,"(HLA,TCR)"
HLA-B,TRBV5-3,0.037288240864157,"(HLA,TCR)"
HLA-B,TRBV5-5,0.0394159053975126,"(HLA,TCR)"
HLA-B,TRBV6-4,0.0376259910620138,"(HLA,TCR)"
HLA-B,TRBV6-6,0.0589922065130287,"(HLA,TCR)"
HLA-B,TRBV7-2,0.0425552864434768,"(HLA,TCR)"
HLA-B,TRBV7-3,0.0628224847394659,"(HLA,TCR)"
HLA-B,TRBV7-6,0.0252693333657214,"(HLA,TCR)"
