Pop,Gene,hete,hhomo,hete_freq
AFR,TRAJ45,0,204,0.0
other,IGLV1-40,0,513,0.0
AFR,IGLV1-40,0,194,0.0
other,TRGVA,0,587,0.0
AFR,TRGVA,0,73,0.0
other,TRGJ1,268,334,0.44518272425249167
AFR,TRGJ1,94,115,0.44976076555023925
other,TRBV7-4,0,614,0.0
AFR,TRBV7-4,0,229,0.0
other,TRAJ35,0,568,0.0
AFR,TRAJ35,0,214,0.0
other,TRBV5-7,0,45,0.0
AFR,TRBV5-7,0,7,0.0
other,IGHD3-9,0,23,0.0
AFR,IGHD3-9,0,14,0.0
other,TRBV7-1,0,593,0.0
AFR,TRBV7-1,0,201,0.0
other,IGHV1-24,0,366,0.0
AFR,IGHV1-24,0,111,0.0
other,TRAV8-1,0,611,0.0
AFR,TRAV8-1,0,216,0.0
other,IGHV6-1,0,116,0.0
AFR,IGHV6-1,4,39,0.09302325581395349
other,IGHV2-70,209,226,0.4804597701149425
AFR,IGHV2-70,71,58,0.5503875968992248
other,TRBV7-7,3,365,0.008152173913043478
AFR,TRBV7-7,3,125,0.0234375
other,TRAV26-1,182,449,0.2884310618066561
AFR,TRAV26-1,28,200,0.12280701754385964
other,TRAJ56,0,587,0.0
AFR,TRAJ56,0,214,0.0
other,TRAV20,26,579,0.04297520661157025
AFR,TRAV20,14,203,0.06451612903225806
other,IGHD3-3,0,21,0.0
AFR,IGHD3-3,0,11,0.0
other,IGLV1-51,89,480,0.15641476274165203
AFR,IGLV1-51,80,131,0.3791469194312796
other,TRAJ30,0,608,0.0
AFR,TRAJ30,0,220,0.0
AFR,IGHV3-29,0,1,0.0
other,TRBV5-4,0,620,0.0
AFR,TRBV5-4,0,231,0.0
other,TRBJ1-3,0,564,0.0
AFR,TRBJ1-3,0,207,0.0
other,IGKV1-33,0,447,0.0
AFR,IGKV1-33,0,168,0.0
other,IGHV3-48,312,196,0.6141732283464567
AFR,IGHV3-48,88,89,0.4971751412429379
other,TRDJ2,0,623,0.0
AFR,TRDJ2,0,209,0.0
other,TRAV39,0,623,0.0
AFR,TRAV39,0,221,0.0
other,IGHV4-4,30,101,0.22900763358778625
AFR,IGHV4-4,8,29,0.21621621621621623
other,TRAJ14,0,606,0.0
AFR,TRAJ14,0,210,0.0
other,TRAJ59,0,599,0.0
AFR,TRAJ59,0,217,0.0
other,IGLV4-60,70,506,0.12152777777777778
AFR,IGLV4-60,3,205,0.014423076923076924
other,IGHD5-24,0,1,0.0
AFR,IGHD5-24,0,4,0.0
other,IGLV8-61,195,392,0.3321976149914821
AFR,IGLV8-61,35,177,0.1650943396226415
other,TRBV7-3,134,426,0.2392857142857143
AFR,TRBV7-3,94,108,0.46534653465346537
other,TRAV12-3,0,619,0.0
AFR,TRAV12-3,0,226,0.0
other,TRAV41,0,618,0.0
AFR,TRAV41,0,224,0.0
other,IGHV5-78,0,630,0.0
AFR,IGHV5-78,0,228,0.0
other,TRBV6-7,0,597,0.0
AFR,TRBV6-7,0,218,0.0
other,TRAJ27,0,601,0.0
AFR,TRAJ27,0,217,0.0
other,TRBV14,100,491,0.1692047377326565
AFR,TRBV14,45,170,0.20930232558139536
other,TRGV5,0,446,0.0
AFR,TRGV5,0,162,0.0
other,IGKJ4,0,95,0.0
AFR,IGKJ4,0,48,0.0
other,IGHV1-46,100,422,0.19157088122605365
AFR,IGHV1-46,41,134,0.2342857142857143
other,IGHD1-1,0,62,0.0
AFR,IGHD1-1,0,35,0.0
other,IGLV3-16,0,438,0.0
AFR,IGLV3-16,0,149,0.0
other,IGHD1-7,0,17,0.0
AFR,IGHD1-7,0,11,0.0
other,TRAV11,0,602,0.0
AFR,TRAV11,0,216,0.0
other,TRAV19,0,607,0.0
AFR,TRAV19,0,219,0.0
other,TRAV34,0,625,0.0
AFR,TRAV34,0,224,0.0
other,TRBV6-8,0,568,0.0
AFR,TRBV6-8,0,138,0.0
other,TRDD2,0,614,0.0
AFR,TRDD2,0,226,0.0
other,IGHV3-64D,0,52,0.0
AFR,IGHV3-64D,0,6,0.0
other,IGHV3-41,0,439,0.0
AFR,IGHV3-41,0,146,0.0
other,IGLV2-18,127,348,0.2673684210526316
AFR,IGLV2-18,20,143,0.12269938650306748
other,IGHD2-15,0,9,0.0
AFR,IGHD2-15,0,9,0.0
other,TRAJ18,0,586,0.0
AFR,TRAJ18,0,209,0.0
other,TRDD3,0,600,0.0
AFR,TRDD3,0,211,0.0
other,IGKV2-29,118,316,0.271889400921659
AFR,IGKV2-29,69,87,0.4423076923076923
other,TRAV9-1,0,620,0.0
AFR,TRAV9-1,0,221,0.0
other,IGKV3-20,0,309,0.0
AFR,IGKV3-20,0,99,0.0
other,IGHV3-11,44,89,0.3308270676691729
AFR,IGHV3-11,18,17,0.5142857142857142
other,IGKV1-39,2,341,0.0058309037900874635
AFR,IGKV1-39,0,103,0.0
other,TRBV30,249,342,0.4213197969543147
AFR,TRBV30,131,88,0.5981735159817352
other,TRAV38-1,222,399,0.357487922705314
AFR,TRAV38-1,117,119,0.4957627118644068
other,TRAJ13,166,430,0.2785234899328859
AFR,TRAJ13,53,159,0.25
other,TRGV8,0,595,0.0
AFR,TRGV8,0,220,0.0
other,IGLV10-54,301,261,0.5355871886120996
AFR,IGLV10-54,127,77,0.6225490196078431
other,TRAV13-1,236,380,0.38311688311688313
AFR,TRAV13-1,80,140,0.36363636363636365
