Pop,Allele,Count,Total,Frequency
PUR,*88,0,76,0.0
PUR,*68,0,76,0.0
PUR,*84,0,76,0.0
PUR,*9,1,76,0.013157894736842105
PUR,*1,29,76,0.3815789473684211
PUR,*36x2+*10,0,76,0.0
PUR,*38,0,76,0.0
PUR,*169,0,76,0.0
PUR,*171,0,76,0.0
PUR,*2x3,0,76,0.0
PUR,*18,0,76,0.0
PUR,*36,0,76,0.0
PUR,*59,0,76,0.0
PUR,*108,1,76,0.013157894736842105
PUR,*6,0,76,0.0
CDX,*89,0,78,0.0
CDX,*106,0,78,0.0
CDX,*4.013,0,78,0.0
CDX,*113,0,78,0.0
CDX,*110,0,78,0.0
CDX,*45,0,78,0.0
CDX,*100,0,78,0.0
CDX,*14,1,78,0.01282051282051282
CDX,*15,0,78,0.0
CDX,*17,0,78,0.0
CDX,*32,0,78,0.0
CDX,*122,0,78,0.0
CDX,*36+*10,20,78,0.2564102564102564
CDX,*58,0,78,0.0
CDX,*3,0,78,0.0
CDX,*5,1,78,0.01282051282051282
CDX,*151,0,78,0.0
CDX,*2x2,0,78,0.0
CDX,*27,0,78,0.0
CDX,*75,0,78,0.0
CDX,*11,0,78,0.0
CDX,*60,0,78,0.0
CDX,*119,0,78,0.0
CDX,*92,0,78,0.0
CDX,*35,0,78,0.0
CDX,*121,0,78,0.0
CDX,*28,0,78,0.0
CDX,*7,0,78,0.0
CDX,*64,0,78,0.0
CDX,*68+*4,0,78,0.0
CDX,*165,0,78,0.0
CDX,*1x2,0,78,0.0
CDX,*17x2,0,78,0.0
CDX,*41,7,78,0.08974358974358974
CDX,*125,0,78,0.0
CDX,*150,0,78,0.0
CDX,*2,4,78,0.05128205128205128
CDX,*144,0,78,0.0
CDX,*145,0,78,0.0
CDX,*127,0,78,0.0
CDX,*90,0,78,0.0
CDX,*29,0,78,0.0
CDX,*82,0,78,0.0
CDX,*21,0,78,0.0
CDX,*115,0,78,0.0
CDX,*129,0,78,0.0
CDX,*31,0,78,0.0
CDX,*166,0,78,0.0
CDX,*49,0,78,0.0
CDX,*22,0,78,0.0
CDX,*117,0,78,0.0
CDX,*4x2,0,78,0.0
CDX,*10+*10,1,78,0.01282051282051282
CDX,*4.013+*4,0,78,0.0
CDX,*56,0,78,0.0
CDX,*136,0,78,0.0
CDX,*68+*2,0,78,0.0
CDX,*171x2,0,78,0.0
CDX,*141,0,78,0.0
CDX,*43x3,0,78,0.0
CDX,*112,0,78,0.0
CDX,*120,0,78,0.0
CDX,*71,1,78,0.01282051282051282
CDX,*101,0,78,0.0
CDX,*83,1,78,0.01282051282051282
CDX,*46,0,78,0.0
CDX,*111,0,78,0.0
CDX,*39,2,78,0.02564102564102564
CDX,*74,0,78,0.0
CDX,*99,0,78,0.0
CDX,*159,0,78,0.0
CDX,*132,0,78,0.0
