,Gene,Sample,Match,Total
506,TAP2,HG02587,2,2
507,TAP2,HG00733,2,2
508,TAP2,HG00732,2,2
509,TAP2,HG02492,2,2
510,TAP2,NA19239,2,2
511,TAP2,HG00514,2,2
512,TAP2,NA19983,2,2
513,TAP2,HG03009,2,2
514,TAP2,HG00731,2,2
515,TAP2,HG03732,2,2
516,TAP2,HG03065,2,2
517,TAP2,HG01114,2,2
518,TAP2,NA19240,2,2
519,TAP2,HG03683,2,2
520,TAP2,HG03371,2,2
521,HFE,NA19238,0,2
522,HFE,HG02011,0,2
523,HFE,HG01596,0,2
524,HFE,HG00171,0,2
525,HFE,HG02587,0,2
526,HFE,HG00733,0,2
527,HFE,HG00732,0,2
528,HFE,HG02492,0,2
529,HFE,NA19239,0,2
530,HFE,HG00514,0,2
531,HFE,NA19983,0,2
532,HFE,HG03009,0,2
533,HFE,HG00731,0,2
534,HFE,HG03732,0,2
535,HFE,HG03065,0,2
536,HFE,HG01114,0,2
537,HFE,NA19240,0,2
538,HFE,HG03683,0,2
539,HFE,HG03371,0,2
540,DQA1,HG02011,2,2
541,DQA1,HG01596,2,2
542,DQA1,HG00171,2,2
543,DQA1,HG02587,2,2
544,DQA1,HG00733,2,2
545,DQA1,HG00732,2,2
546,DQA1,HG02492,2,2
547,DQA1,NA19239,2,2
548,DQA1,HG00514,2,2
549,DQA1,NA19983,2,2
550,DQA1,HG03009,2,2
551,DQA1,HG00731,2,2
552,DQA1,HG03732,2,2
553,DQA1,HG03065,2,2
554,DQA1,HG01114,2,2
555,DQA1,NA19240,2,2
556,DQA1,HG03683,2,2
557,DQA1,HG03371,2,2
558,DRB4,HG02011,2,2
559,DRB4,HG00171,2,2
560,DRB4,HG02492,2,2
561,DRB4,HG03732,2,2
562,DRB4,HG01114,2,2
563,DRB4,HG03683,2,2
564,V,HG02011,2,2
565,V,HG01596,2,2
566,V,HG00171,2,2
567,V,HG00733,2,2
568,V,HG00732,2,2
569,V,HG02492,2,2
570,V,NA19239,2,2
571,V,HG00514,2,2
572,V,NA19983,2,2
573,V,HG03009,2,2
574,V,HG00731,2,2
575,V,HG03732,2,2
576,V,HG01114,2,2
577,V,HG03683,1,2
578,V,HG03371,2,2
579,U,HG02011,2,2
580,U,HG01596,2,2
581,U,HG00171,2,2
582,U,HG02587,2,2
583,U,HG02492,1,2
584,U,NA19239,2,2
585,U,HG00514,2,2
586,U,NA19983,2,2
587,U,HG03732,1,2
588,U,HG03683,0,2
589,U,HG03371,2,2
590,W,HG02011,2,2
591,W,HG00171,2,2
592,W,HG02587,1,2
593,W,HG02492,2,2
594,W,NA19239,1,2
595,W,HG00514,2,2
596,W,NA19983,2,2
597,W,HG03009,2,2
598,W,HG00731,2,2
599,W,HG03732,2,2
600,W,HG01114,2,2
601,W,HG03683,2,2
602,W,HG03371,1,2
603,P,HG01596,2,2
604,P,HG00171,2,2
605,P,HG00733,2,2
606,P,HG00732,2,2
607,P,HG02492,2,2
608,P,NA19239,2,2
609,P,HG00514,2,2
610,P,NA19983,2,2
611,P,HG03009,2,2
612,P,HG00731,2,2
613,P,HG03732,2,2
614,P,HG03065,2,2
615,P,HG01114,2,2
616,P,NA19240,2,2
617,P,HG03683,2,2
618,DPA2,HG01596,2,2
619,DPA2,HG00171,2,2
620,DPA2,HG00733,2,2
621,DPA2,HG00732,2,2
622,DPA2,HG02492,2,2
623,DPA2,HG00514,2,2
624,DPA2,NA19983,2,2
625,DPA2,HG00731,2,2
626,DPA2,HG03732,2,2
627,DPA2,HG01114,2,2
628,DRB3,HG00733,2,2
629,DRB3,HG00732,2,2
630,DRB3,NA19239,1,2
631,DRB3,HG03009,1,2
632,DRB3,HG00731,2,2
633,DRB3,HG03732,0,2
634,DRB3,HG03065,1,2
635,DRB3,HG03371,2,2
