Group1,Group2,JSD
CDX,MXL,0.487181700191864
CDX,ASW,0.5200193405315782
CDX,TSI,0.48849871669664485
CDX,GIH,0.464657442938391
CLM,GBR,0.32716105682958624
CLM,FIN,0.33213219179631737
CLM,CHS,0.4639981686615049
CLM,PUR,0.30503391304480004
CLM,CDX,0.49856084039295656
CLM,CLM,0.0
CLM,IBS,0.3151614200984492
CLM,PEL,0.35201408858442107
CLM,PJL,0.3933997302711222
CLM,KHV,0.433896786901832
CLM,ACB,0.3973787019503342
CLM,GWD,0.45946076025083293
CLM,ESN,0.43445309191016435
CLM,BEB,0.3970557611359696
CLM,MSL,0.45759205487180804
CLM,STU,0.4058650913478712
CLM,ITU,0.40227911855046855
CLM,CEU,0.32958050086994256
CLM,YRI,0.44377571804963795
CLM,CHB,0.41184508785745794
CLM,JPT,0.4506558969221055
CLM,LWK,0.4332956926514899
CLM,MXL,0.33641021285123474
CLM,ASW,0.3726268945004446
CLM,TSI,0.3339508355501522
CLM,GIH,0.3852776298450384
IBS,GBR,0.28512189637152735
IBS,FIN,0.3366019454638448
IBS,CHS,0.4595790161387463
IBS,PUR,0.2985611890221042
IBS,CDX,0.4795785790727767
IBS,CLM,0.3151614200984492
IBS,IBS,0.0
IBS,PEL,0.3852091261755842
IBS,PJL,0.39817303811637633
IBS,KHV,0.43415305080405686
IBS,ACB,0.39900383587014365
IBS,GWD,0.44638400554413693
IBS,ESN,0.4343499028854535
IBS,BEB,0.3990967318034443
IBS,MSL,0.4522586120407008
IBS,STU,0.40550889538763785
IBS,ITU,0.4011086510732467
IBS,CEU,0.3317252226768072
IBS,YRI,0.4510656610494916
IBS,CHB,0.40848607856271235
IBS,JPT,0.47333699754374714
IBS,LWK,0.4243215370712166
IBS,MXL,0.37336235226718867
IBS,ASW,0.3805850051055745
IBS,TSI,0.31600435589262266
IBS,GIH,0.3810413974648685
PEL,GBR,0.37979105509496064
PEL,FIN,0.3929685846903819
PEL,CHS,0.43746948324270263
PEL,PUR,0.37356267635826285
PEL,CDX,0.47097833617991297
PEL,CLM,0.35201408858442107
PEL,IBS,0.3852091261755842
PEL,PEL,0.0
PEL,PJL,0.423512103452762
PEL,KHV,0.4328793017541191
PEL,ACB,0.46879959204665034
PEL,GWD,0.5119482438153915
PEL,ESN,0.4883151630011885
PEL,BEB,0.4308774427773985
PEL,MSL,0.5029607238876087
PEL,STU,0.42509581739682856
PEL,ITU,0.4271911375603224
PEL,CEU,0.3977771903182092
PEL,YRI,0.5028150246744307
PEL,CHB,0.40455378645871565
PEL,JPT,0.42276990891319244
PEL,LWK,0.4905141747890328
PEL,MXL,0.3321905380902668
PEL,ASW,0.43449653388323184
PEL,TSI,0.4015816110807984
PEL,GIH,0.41556404369687117
