Population,Locus,Diversity
CDX,HLA-V,0.7326987829200042
CDX,HLA-W,1.2781027941784149
CDX,HLA-Y,0.6931471805599453
CDX,MICA,2.243163836119586
CDX,MICB,1.3095352546841974
CDX,TAP1,1.2951812338367232
CDX,TAP2,1.9143294395099535
CEU,HFE,1.0688878661009877
CEU,HLA-A,3.029318759344125
CEU,HLA-B,2.7805875664601882
CEU,HLA-C,2.733335456241189
CEU,HLA-DMA,1.2182785474498852
CEU,HLA-DMB,1.6855694847671845
CEU,HLA-DOA,2.3743772553376203
CEU,HLA-DOB,1.813496557177855
CEU,HLA-DPA1,2.1536464612089112
CEU,HLA-DPA2,1.4328775537204455
CEU,HLA-DPB1,3.1654005443222943
CEU,HLA-DPB2,1.5664899993308636
CEU,HLA-DQA1,2.4954635595033636
CEU,HLA-DQA2,1.8887080324804413
CEU,HLA-DQB1,2.6216062665943993
CEU,HLA-DQB2,1.7018861884183845
CEU,HLA-DRA,2.6149716940826644
CEU,HLA-DRB1,3.14466184965081
CEU,HLA-DRB3,2.049950056081566
CEU,HLA-DRB4,1.475388396099096
CEU,HLA-DRB5,1.8156370403331423
CEU,HLA-E,1.2628595383746228
CEU,HLA-F,2.072419991142336
CEU,HLA-G,2.5246518088607632
CEU,HLA-H,1.9097093729207142
CEU,HLA-J,1.660180510381429
CEU,HLA-K,1.4910675497904684
CEU,HLA-L,1.3610779547681302
CEU,HLA-N,1.309268063607734
CEU,HLA-P,1.1374726821596868
CEU,HLA-S,1.4703751116092976
CEU,HLA-T,1.884007964321264
CEU,HLA-U,1.1221061857199761
CEU,HLA-V,0.9730643435208963
CEU,HLA-W,2.0155419818749567
CEU,HLA-Y,-0.0
CEU,MICA,2.087370463295405
CEU,MICB,1.3235035181570827
CEU,TAP1,1.5278452155544926
CEU,TAP2,1.923067088310287
CHB,HFE,1.073763865055576
CHB,HLA-A,3.2427893080252974
CHB,HLA-B,3.208422328283979
CHB,HLA-C,2.90963728129042
CHB,HLA-DMA,1.4537644005164434
CHB,HLA-DMB,1.555039227258684
CHB,HLA-DOA,1.9357810242915388
CHB,HLA-DOB,1.8643498061311294
CHB,HLA-DPA1,2.156143009818491
CHB,HLA-DPA2,1.4222449605868888
CHB,HLA-DPB1,3.442877540154838
CHB,HLA-DPB2,1.6597915896880577
CHB,HLA-DQA1,3.0613290405604685
CHB,HLA-DQA2,1.4152722624141933
CHB,HLA-DQB1,3.0027467464787296
CHB,HLA-DQB2,1.6140842563994053
CHB,HLA-DRA,2.729124638671839
CHB,HLA-DRB1,3.7198806257311996
CHB,HLA-DRB3,1.8608345011161322
CHB,HLA-DRB4,1.608626324967436
CHB,HLA-DRB5,1.8635677000467707
CHB,HLA-E,1.7663314731212107
CHB,HLA-F,2.3098960364040715
CHB,HLA-G,2.2997596637958537
CHB,HLA-H,2.0784339159199763
CHB,HLA-J,1.814334089088723
CHB,HLA-K,1.4165399170196609
CHB,HLA-L,1.0306077732876207
CHB,HLA-N,1.2313396710920514
CHB,HLA-P,1.3182316797233564
CHB,HLA-S,1.78087510606485
CHB,HLA-T,1.690264383733762
CHB,HLA-U,1.0913077313431798
CHB,HLA-V,1.207973687592232
CHB,HLA-W,1.7684934219928183
CHB,HLA-Y,-0.0
CHB,MICA,2.263888638756992
CHB,MICB,1.3353823185758993
CHB,TAP1,1.4170966425817273
CHB,TAP2,2.0226698367162803
CHS,HFE,1.0956332830555209
CHS,HLA-A,2.6837608140997924
CHS,HLA-B,2.589672786399905
CHS,HLA-C,2.4762658537989246
CHS,HLA-DMA,1.446179478903309
CHS,HLA-DMB,1.521046964642669
CHS,HLA-DOA,1.6875685097835404
CHS,HLA-DOB,1.7351556621038675
CHS,HLA-DPA1,1.5670085031627756
CHS,HLA-DPA2,1.3393305088173713
CHS,HLA-DPB1,3.0033829313764944
