Sample1,Sample2,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DPB2,HLA-DQA1,HLA-DQB1,HLA-DRB1,HLA-DQA2
NA19238,HG02382,0.0354,0.01395,0.01525,0.0033499999999999997,0.0044,0.0018,0.0356,0.062150000000000004,0.02455,0.0062499999999999995
NA19238,HG02184,0.03405,0.0211,0.012549999999999999,0.01595,0.0144,0.0017499999999999998,0.00545,0.0296,0.0,0.004350000000000001
NA19238,NA18941,0.02775,0.0213,0.01535,0.02105,0.0138,0.0016,0.03505,0.041499999999999995,0.01205,0.0048000000000000004
NA19238,HG00436,0.0276,0.0215,0.013250000000000001,0.01605,0.011300000000000001,0.0101,0.0352,0.041499999999999995,0.0144,0.00395
NA19238,HG02156,0.011300000000000001,0.022199999999999998,0.013250000000000001,0.01885,0.00455,0.02155,0.00515,0.0296,0.01525,0.00575
NA19238,HG02017,0.0054,0.0118,0.01315,0.019,0.0138,0.0265,0.03155,0.04015,0.0375,0.0059
NA19238,NA18566,0.03485,0.01565,0.02105,0.0033499999999999997,0.01405,0.0045000000000000005,0.038,0.03765,0.01475,0.0056
NA19238,HG00125,0.030449999999999998,0.023100000000000002,0.0151,0.01645,0.012049999999999998,0.0102,0.06675,0.0713,0.022949999999999998,0.0048000000000000004
NA19238,HG00368,0.03405,0.01695,0.011300000000000001,0.01645,0.01175,0.00185,0.0638,0.0731,0.05325,0.00245
NA19238,NA20801,0.03415,0.019,0.0206,0.0035499999999999998,0.0036,0.0018,0.035899999999999994,0.03715,0.035699999999999996,0.00815
NA19238,HG01678,0.002,0.02355,0.022,0.0161,0.0116,0.00125,0.07064999999999999,0.06870000000000001,0.0174,0.0038
NA19238,HG00117,0.00785,0.0209,0.02105,0.0162,0.0044,0.00705,0.06665,0.0688,0.0225,0.003
NA19238,HG00271,0.021400000000000002,0.022699999999999998,0.0147,0.0161,0.0044,0.0043,0.037399999999999996,0.04015,0.0082,0.004350000000000001
NA19238,NA20753,0.017150000000000002,0.0105,0.0064,0.0007,0.0066,0.0045,0.06715,0.06939999999999999,0.03,0.0047
NA19238,HG02224,0.0217,0.0114,0.00755,0.01585,0.01145,0.0089,0.03915,0.037700000000000004,0.02315,0.004549999999999999
NA19238,HG00254,0.02325,0.02605,0.015550000000000001,0.0020499999999999997,0.014499999999999999,0.0015,0.00655,0.00635,0.0268,0.008450000000000001
NA19238,NA10850,0.0216,0.0143,0.0127,0.0162,0.0044,0.0043,0.0351,0.03925,0.04135,0.00165
NA19238,HG02684,0.02115,0.013600000000000001,0.01405,0.01575,0.01135,0.0087,0.0341,0.0673,0.03755,0.00105
NA19238,NA20899,0.0213,0.01465,0.013850000000000001,0.015950000000000002,0.0115,0.0021999999999999997,0.06315000000000001,0.07325,0.042550000000000004,0.00095
NA19238,HG03931,0.021849999999999998,0.012,0.00745,0.00030000000000000003,0.024300000000000002,0.00385,0.0071,0.02695,0.0,0.00445
NA19238,HG03598,0.0329,0.022199999999999998,0.02105,0.0157,0.011550000000000001,0.0042,0.00625,0.030950000000000002,0.0,0.00325
