,HG02445,NA19238,HG02678,HG03039,HG03159,NA19024,HG02611,HG02836,HG01890,NA19921,HG02003,HG01455,NA19675,HG01085,HG01048,HG02275,HG01577,HG01950,HG00739,HG01241,HG00634,NA18983,HG02390,HG02382,HG02184,NA18941,HG00436,HG02156,HG02017,NA18566,HG00125,HG00368,NA20801,HG01678,HG00117,HG00271,NA20753,HG02224,HG00254,NA10850,HG02684,NA20899,HG03931,HG03598,NA21102,HG03742,NA20883,HG04149,HG03900,NA21101
HG00634,0.02185,0.01845,0.0246,0.03605,0.02715,0.03345,0.02445,0.034449999999999995,0.01815,0.0257,0.0343,0.01845,0.024,0.0087,0.03575,0.0176,0.0213,0.03315,0.0003,0.02415,0.0,0.01715,0.01485,0.03615,0.034600000000000006,0.01415,0.013999999999999999,0.01375,0.017849999999999998,0.0356,0.0176,0.0343,0.034600000000000006,0.0183,0.01345,0.0227,0.02415,0.023,0.02615,0.02285,0.0173,0.0189,0.02015,0.03275,0.03345,0.021,0.02115,0.00625,0.01875,0.0216
NA18983,0.0054,0.02145,0.0079,0.027000000000000003,0.01945,0.0197,0.0104,0.0244,0.02115,0.0182,0.0176,0.01415,0.0073,0.0247,0.01905,0.013999999999999999,0.0046,0.01955,0.017150000000000002,0.0165,0.01715,0.0,0.01825,0.01975,0.017900000000000003,0.031,0.03085,0.017,0.02085,0.0189,0.013999999999999999,0.0176,0.017900000000000003,0.02185,0.017750000000000002,0.006,0.01855,0.00625,0.01835,0.00615,0.00085,0.0117,0.0124,0.01615,0.016999999999999998,0.0043,0.00445,0.0231,0.0261,0.008
HG02390,0.02315,0.01185,0.0261,0.0359,0.02605,0.03255,0.0239,0.0334,0.01155,0.02495,0.036500000000000005,0.03265,0.0255,0.0224,0.03755,0.0325,0.0227,0.0324,0.01455,0.0231,0.01485,0.01825,0.0,0.03785,0.036500000000000005,0.02895,0.0288,0.0006,0.01025,0.0374,0.0325,0.036500000000000005,0.03635,0.0126,0.00445,0.02405,0.025550000000000003,0.02435,0.0254,0.0242,0.0184,0.01835,0.0193,0.03445,0.03515,0.0224,0.02255,0.01975,0.03355,0.0205
HG02382,0.0214,0.0354,0.0193,0.0128,0.02415,0.013750000000000002,0.0224,0.0175,0.0357,0.018000000000000002,0.0134,0.021,0.0187,0.0357,0.00215,0.02085,0.0197,0.01575,0.0359,0.0224,0.03615,0.01975,0.03785,0.0,0.0135,0.0377,0.03755,0.03615,0.03555,0.00115,0.02085,0.01325,0.0134,0.0364,0.0363,0.01845,0.02365,0.0187,0.0176,0.01855,0.0197,0.0231,0.018000000000000002,0.0119,0.01025,0.0197,0.01985,0.0354,0.017750000000000002,0.0238
HG02184,0.019000000000000003,0.03405,0.01745,0.0192,0.02915,0.0124,0.02085,0.0178,0.0343,0.02895,0.0007,0.0173,0.0173,0.03455,0.01305,0.01715,0.0173,0.008400000000000001,0.0343,0.02715,0.034600000000000006,0.017900000000000003,0.036500000000000005,0.0135,0.0,0.03425,0.03415,0.0346,0.0339,0.01265,0.01715,0.00055,0.0007,0.03505,0.0346,0.0166,0.02855,0.016900000000000002,0.02915,0.01675,0.0179,0.02855,0.02955,0.004,0.00885,0.0173,0.01745,0.0339,0.0294,0.02145
NA18941,0.0311,0.02775,0.0307,0.0383,0.0334,0.03645,0.0316,0.03715,0.02745,0.0337,0.03425,0.017849999999999998,0.03115,0.015,0.0373,0.01715,0.0306,0.03515,0.01385,0.03215,0.01415,0.031,0.02895,0.0377,0.03425,0.0,0.00045,0.0273,0.02715,0.03715,0.01715,0.03415,0.03425,0.0276,0.027000000000000003,0.0307,0.0313,0.031,0.03415,0.03085,0.03085,0.03215,0.0337,0.034699999999999995,0.0357,0.0303,0.0304,0.014299999999999997,0.0203,0.0309
HG00436,0.031,0.0276,0.0306,0.0382,0.0333,0.0363,0.03145,0.0369,0.0273,0.0336,0.03415,0.017699999999999997,0.031,0.01485,0.03715,0.017,0.03045,0.03505,0.0137,0.032,0.013999999999999999,0.03085,0.0288,0.03755,0.03415,0.00045,0.0,0.02715,0.027000000000000003,0.037000000000000005,0.017,0.034,0.03415,0.02745,0.02685,0.0306,0.03115,0.03085,0.034,0.0307,0.0307,0.032049999999999995,0.03355,0.0346,0.0356,0.03015,0.0303,0.01415,0.02015,0.03075
HG02156,0.0217,0.0113,0.02475,0.0343,0.02545,0.03085,0.0226,0.03175,0.011000000000000001,0.024,0.0346,0.0309,0.02415,0.02115,0.035750000000000004,0.03075,0.0213,0.03075,0.01345,0.02225,0.01375,0.017,0.0006,0.03615,0.0346,0.0273,0.02715,0.0,0.0097,0.0356,0.03075,0.0346,0.0346,0.012,0.004,0.02275,0.0247,0.023,0.0244,0.02285,0.01715,0.0176,0.01845,0.0326,0.033449999999999994,0.021,0.02115,0.01855,0.0319,0.01915
HG02017,0.01815,0.0054,0.0226,0.0337,0.0231,0.0317,0.020950000000000003,0.0316,0.00455,0.01915,0.03405,0.0303,0.02185,0.019,0.03515,0.02975,0.016900000000000002,0.03125,0.01755,0.017,0.017849999999999998,0.02085,0.01025,0.03555,0.0339,0.02715,0.027000000000000003,0.0097,0.0,0.035,0.02975,0.03405,0.03405,0.00555,0.0057,0.017750000000000002,0.02195,0.017750000000000002,0.0193,0.0176,0.02045,0.02055,0.0214,0.03245,0.03275,0.0166,0.01675,0.01285,0.03085,0.0153
NA18566,0.02055,0.03485,0.01845,0.01195,0.02335,0.01295,0.02155,0.016649999999999998,0.03515,0.01745,0.01255,0.02015,0.01785,0.0351,0.0013,0.02,0.01885,0.0149,0.0353,0.02185,0.0356,0.0189,0.0374,0.00115,0.01265,0.03715,0.037000000000000005,0.0356,0.035,0.0,0.02,0.0124,0.01255,0.03585,0.035750000000000004,0.0176,0.0231,0.017849999999999998,0.017050000000000003,0.0177,0.01885,0.02255,0.01745,0.01105,0.0094,0.01885,0.019,0.0348,0.017150000000000002,0.0227
HG00125,0.01485,0.03045,0.0136,0.0284,0.0253,0.02285,0.0177,0.02725,0.030150000000000007,0.02595,0.01715,0.0007,0.013999999999999999,0.0183,0.02015,0.0,0.01345,0.02155,0.0173,0.02415,0.0176,0.013999999999999999,0.0325,0.02085,0.01715,0.01715,0.017,0.03075,0.02975,0.02,0.0,0.017,0.01715,0.0309,0.03045,0.0136,0.02525,0.0139,0.0261,0.0137,0.01405,0.0247,0.0257,0.01775,0.0189,0.01315,0.0133,0.0169,0.01225,0.0173
